step,S,E,I,R,inc,beta,Rt
89,4367,38,586,995009,4,0.9380863039399625,0.021835000000000004
90,4365,31,489,995115,2,0.9380863039399625,0.021825
91,4360,30,419,995191,5,0.9380863039399625,0.021800000000000003
92,4356,23,355,995266,4,0.9380863039399625,0.021779999999999997
93,4355,21,281,995343,1,0.9380863039399625,0.021775000000000003
94,4355,16,235,995394,0,0.9380863039399625,0.021775000000000003
95,4353,15,197,995435,2,0.9380863039399625,0.021765000000000003
96,4353,13,167,995467,0,0.9380863039399625,0.021765000000000003
97,4352,11,145,995492,1,0.9380863039399625,0.021759999999999998
98,4351,10,115,995524,1,0.9380863039399625,0.021755000000000004
99,4350,9,99,995542,1,0.9380863039399625,0.02175
100,4350,7,86,995557,0,0.9380863039399625,0.02175
101,4350,7,70,995573,0,0.9380863039399625,0.02175
102,4349,5,63,995583,1,0.9380863039399625,0.021744999999999997
103,4349,5,50,995596,0,0.9380863039399625,0.021744999999999997
104,4349,5,39,995607,0,0.9380863039399625,0.021744999999999997
105,4349,2,34,995615,0,0.9380863039399625,0.021744999999999997
106,4349,2,29,995620,0,0.9380863039399625,0.021744999999999997
107,4349,2,26,995623,0,0.9380863039399625,0.021744999999999997
108,4349,1,20,995630,0,0.9380863039399625,0.021744999999999997
109,4349,0,20,995631,0,0.9380863039399625,0.021744999999999997
110,4349,0,17,995634,0,0.9380863039399625,0.021744999999999997
111,4349,0,12,995639,0,0.9380863039399625,0.021744999999999997
112,4349,0,10,995641,0,0.9380863039399625,0.021744999999999997
113,4349,0,7,995644,0,0.9380863039399625,0.021744999999999997
114,4349,0,5,995646,0,0.9380863039399625,0.021744999999999997
115,4349,0,4,995647,0,0.9380863039399625,0.021744999999999997
116,4349,0,4,995647,0,0.9380863039399625,0.021744999999999997
117,4349,0,4,995647,0,0.9380863039399625,0.021744999999999997
118,4349,0,3,995648,0,0.9380863039399625,0.021744999999999997
119,4349,0,3,995648,0,0.9380863039399625,0.021744999999999997
120,4349,0,2,995649,0,0.9380863039399625,0.021744999999999997
121,4349,0,2,995649,0,0.9380863039399625,0.021744999999999997
122,4349,0,2,995649,0,0.9380863039399625,0.021744999999999997
123,4349,0,2,995649,0,0.9380863039399625,0.021744999999999997
124,4349,0,1,995650,0,0.9380863039399625,0.021744999999999997
125,4349,0,1,995650,0,0.9380863039399625,0.021744999999999997
126,4349,0,1,995650,0,0.9380863039399625,0.021744999999999997
127,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
128,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
129,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
130,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
131,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
132,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
133,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
134,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
135,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
136,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
137,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
138,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
139,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
140,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
141,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
142,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
143,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
144,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
145,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
146,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
147,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
148,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
149,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
150,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
151,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
152,4349,0,0,995651,0,0.9380863039399625,0.021744999999999997
