step,S,E,I,R,inc,beta,Rt
0,999900,0,100,0,0,0.3125,2.49975
1,999869,31,88,12,31,0.3125,2.4996725
2,999844,44,91,21,25,0.3125,2.4996099999999997
3,999814,64,93,29,30,0.3125,2.499535
4,999787,77,94,42,27,0.3125,2.4994674999999997
5,999754,85,106,55,33,0.3125,2.499385
6,999715,103,120,62,39,0.3125,2.4992875
7,999676,115,136,73,39,0.3125,2.49919
8,999637,125,147,91,39,0.3125,2.4990925
9,999594,142,159,105,43,0.3125,2.498985
10,999542,157,182,119,52,0.3125,2.4988550000000003
11,999477,186,196,141,65,0.3125,2.4986924999999998
12,999411,213,214,162,66,0.3125,2.4985275000000002
13,999345,224,242,189,66,0.3125,2.4983625000000003
14,999265,256,261,218,80,0.3125,2.4981625
15,999196,268,278,258,69,0.3125,2.4979899999999997
16,999116,285,310,289,80,0.3125,2.49779
17,999011,332,337,320,105,0.3125,2.4975275
18,998926,340,370,364,85,0.3125,2.497315
19,998808,382,407,403,118,0.3125,2.49702
20,998666,446,437,451,142,0.3125,2.496665
21,998545,475,471,509,121,0.3125,2.4963625
22,998396,497,529,578,149,0.3125,2.49599
23,998252,519,597,632,144,0.3125,2.4956300000000002
24,998064,595,633,708,188,0.3125,2.49516
25,997870,663,667,800,194,0.3125,2.494675
26,997668,712,748,872,202,0.3125,2.49417
27,997441,790,812,957,227,0.3125,2.4936025
28,997183,859,903,1055,258,0.3125,2.4929575
29,996888,968,973,1171,295,0.3125,2.49222
30,996574,1086,1080,1260,314,0.3125,2.491435
31,996237,1190,1185,1388,337,0.3125,2.4905925
32,995880,1254,1308,1558,357,0.3125,2.4897
33,995503,1356,1432,1709,377,0.3125,2.4887575
34,995054,1505,1559,1882,449,0.3125,2.487635
35,994574,1646,1692,2088,480,0.3125,2.4864349999999997
36,994041,1857,1858,2244,533,0.3125,2.4851025
37,993480,2009,2037,2474,561,0.3125,2.4837000000000002
38,992823,2237,2223,2717,657,0.3125,2.4820575
39,992152,2426,2451,2971,671,0.3125,2.4803800000000003
40,991423,2599,2710,3268,729,0.3125,2.4785575
41,990588,2851,2976,3585,835,0.3125,2.47647
42,989660,3163,3284,3893,928,0.3125,2.47415
43,988694,3426,3583,4297,966,0.3125,2.471735
44,987541,3794,3936,4729,1153,0.3125,2.4688525
45,986336,4185,4301,5178,1205,0.3125,2.46584
46,984966,4638,4702,5694,1370,0.3125,2.462415
47,983503,5078,5159,6260,1463,0.3125,2.4587575
48,981923,5553,5682,6842,1580,0.3125,2.4548075
49,980156,6090,6209,7545,1767,0.3125,2.45039
50,978223,6656,6871,8250,1933,0.3125,2.4455575
51,976107,7270,7551,9072,2116,0.3125,2.4402675
52,973885,7831,8299,9985,2222,0.3125,2.4347125
53,971358,8637,9070,10935,2527,0.3125,2.428395
54,968601,9516,9902,11981,2757,0.3125,2.4215025
55,965624,10400,10811,13165,2977,0.3125,2.41406
56,962345,11302,11864,14489,3279,0.3125,2.4058625
57,958711,12444,12917,15928,3634,0.3125,2.3967775
58,954920,13551,14125,17404,3791,0.3125,2.3872999999999998
59,950762,14705,15488,19045,4158,0.3125,2.376905
60,946221,16091,16844,20844,4541,0.3125,2.3655524999999997
61,941203,17428,18559,22810,5018,0.3125,2.3530075
62,935821,18959,20276,24944,5382,0.3125,2.3395525
63,929813,20835,22082,27270,6008,0.3125,2.3245325
64,923480,22636,24095,29789,6333,0.3125,2.3087
65,916590,24564,26118,32728,6890,0.3125,2.291475
66,909072,26647,28470,35811,7518,0.3125,2.27268
67,901053,28870,30976,39101,8019,0.3125,2.2526325
68,892309,31342,33691,42658,8744,0.3125,2.2307725
69,883093,33650,36632,46625,9216,0.3125,2.2077325
70,872910,36273,39882,50935,10183,0.3125,2.1822749999999997
71,862276,38830,43203,55691,10634,0.3125,2.15569
72,850647,41882,46643,60828,11629,0.3125,2.1266175
73,838379,44873,50499,66249,12268,0.3125,2.0959475
74,825311,48032,54484,72173,13068,0.3125,2.0632775
75,811360,51286,58742,78612,13951,0.3125,2.0284
76,796645,54662,63284,85409,14715,0.3125,1.9916125
77,781185,57924,67930,92961,15460,0.3125,1.9529625
78,764904,61372,72972,100752,16281,0.3125,1.91226
79,747623,65065,77849,109463,17281,0.3125,1.8690575
80,729721,68532,83210,118537,17902,0.3125,1.8243025
81,711078,71903,88722,128297,18643,0.3125,1.777695
82,691715,75330,94123,138832,19363,0.3125,1.7292874999999999
83,671466,78715,99886,149933,20249,0.3125,1.678665
84,650958,81951,105505,161586,20508,0.3125,1.6273950000000001
85,629853,84911,111317,173919,21105,0.3125,1.5746324999999999
86,608450,87418,117172,186960,21403,0.3125,1.521125
87,586353,90106,122898,200643,22097,0.3125,1.4658825
88,564267,92163,128617,214953,22086,0.3125,1.4106675
89,542118,93747,134234,229901,22149,0.3125,1.355295
90,519847,95184,139162,245807,22271,0.3125,1.2996174999999999
91,497720,96469,143524,262287,22127,0.3125,1.2443
92,476117,96823,147818,279242,21603,0.3125,1.1902925
93,454611,96945,151858,296586,21506,0.3125,1.1365275
94,433530,96534,155533,314403,21081,0.3125,1.083825
95,412868,95908,158674,332550,20662,0.3125,1.03217
96,393110,94524,161057,351309,19758,0.3125,0.9827750000000001
97,373670,92973,163135,370222,19440,0.3125,0.934175
98,354869,91043,164744,389344,18801,0.3125,0.8871724999999999
99,337111,88607,165771,408511,17758,0.3125,0.8427775
100,319868,86422,165842,427868,17243,0.3125,0.79967
101,303789,83472,165504,447235,16079,0.3125,0.7594725
102,288456,80322,164400,466822,15333,0.3125,0.72114
103,274026,77030,162769,486175,14430,0.3125,0.685065
104,260374,73742,160566,505318,13652,0.3125,0.650935
105,247690,70224,158079,524007,12684,0.3125,0.619225
106,235737,66614,154940,542709,11953,0.3125,0.5893425
107,224576,63064,151509,560851,11161,0.3125,0.5614399999999999
108,214057,59704,147419,578820,10519,0.3125,0.5351425
109,204346,56026,143492,596136,9711,0.3125,0.510865
110,195369,52484,139181,612966,8977,0.3125,0.4884225
111,187083,49183,134352,629382,8286,0.3125,0.4677075
112,179371,45914,129563,645152,7712,0.3125,0.4484275
113,172306,42900,124501,660293,7065,0.3125,0.43076499999999995
114,165762,39882,119217,675139,6544,0.3125,0.41440499999999997
115,159592,37410,113793,689205,6170,0.3125,0.39898
116,154053,34672,108712,702563,5539,0.3125,0.3851325
117,148879,32149,103536,715436,5174,0.3125,0.3721975
118,144068,29889,98355,727688,4811,0.3125,0.36017
119,139841,27600,93333,739226,4227,0.3125,0.3496025
120,135857,25479,88542,750122,3984,0.3125,0.3396425
121,132173,23446,83900,760481,3684,0.3125,0.3304325
122,128698,21653,79069,770580,3475,0.3125,0.321745
123,125611,19919,74546,779924,3087,0.3125,0.3140275
124,122754,18353,70238,788655,2857,0.3125,0.306885
125,120109,16843,66131,796917,2645,0.3125,0.3002725
126,117659,15503,62048,804790,2450,0.3125,0.2941475
127,115361,14489,58063,812087,2298,0.3125,0.2884025
128,113345,13351,54337,818967,2016,0.3125,0.2833625
129,111537,12133,51046,825284,1808,0.3125,0.2788425
130,109744,11213,47829,831214,1793,0.3125,0.27436
131,108127,10329,44636,836908,1617,0.3125,0.2703175
132,106618,9557,41749,842076,1509,0.3125,0.26654500000000003
133,105194,8869,38834,847103,1424,0.3125,0.26298499999999997
134,103985,8101,36286,851628,1209,0.3125,0.2599625
135,102799,7500,33763,855938,1186,0.3125,0.2569975
136,101731,6880,31494,859895,1068,0.3125,0.2543275
137,100710,6370,29227,863693,1021,0.3125,0.25177499999999997
138,99730,5969,27220,867081,980,0.3125,0.249325
139,98868,5508,25296,870328,862,0.3125,0.24717
140,98121,5020,23605,873254,747,0.3125,0.2453025
141,97447,4598,21978,875977,674,0.3125,0.24361750000000001
142,96804,4255,20368,878573,643,0.3125,0.24201
143,96179,3958,18892,880971,625,0.3125,0.2404475
144,95613,3636,17501,883250,566,0.3125,0.2390325
145,95079,3320,16298,885303,534,0.3125,0.2376975
146,94602,3044,15159,887195,477,0.3125,0.23650500000000002
147,94160,2818,14058,888964,442,0.3125,0.2354
148,93753,2618,13001,890628,407,0.3125,0.2343825
149,93375,2428,11971,892226,378,0.3125,0.2334375
150,93022,2260,11161,893557,353,0.3125,0.23255499999999998
151,92690,2102,10346,894862,332,0.3125,0.231725
152,92367,1956,9567,896110,323,0.3125,0.2309175
153,92096,1755,8928,897221,271,0.3125,0.23024
154,91867,1592,8303,898238,229,0.3125,0.22966750000000002
155,91600,1492,7695,899213,267,0.3125,0.229
156,91387,1366,7090,900157,213,0.3125,0.2284675
157,91215,1222,6566,900997,172,0.3125,0.2280375
158,91041,1109,6093,901757,174,0.3125,0.22760249999999999
159,90875,1016,5612,902497,166,0.3125,0.2271875
160,90720,937,5178,903165,155,0.3125,0.2268
161,90555,898,4769,903778,165,0.3125,0.2263875
162,90423,821,4428,904328,132,0.3125,0.22605750000000002
163,90314,754,4096,904836,109,0.3125,0.225785
164,90216,695,3757,905332,98,0.3125,0.22554000000000002
