t,ct
55,31.209415033208963
55,40
55,40
55,37.476359798535476
55,40
55,40
55,37.42908916450602
55,40
55,40
55,40
55,40
55,40
55,40
55,39.03815555629099
55,37.39627203243399
55,40
55,31.2855037388832
55,40
55,40
55,40
55,32.86629378409593
55,37.22111025741221
55,40
55,40
55,40
55,32.16812919253038
55,40
55,40
55,40
55,40
55,40
55,40
55,36.275513027157615
55,39.06743565344102
55,40
55,30.735780279408374
55,40
55,40
55,36.44810936978226
55,25.37416383224656
55,40
55,37.3601008894015
55,40
55,40
55,40
55,40
55,39.17786637123977
55,40
55,40
55,40
55,36.79433461287074
55,40
55,24.593689696244965
55,40
55,40
55,23.479937366557067
55,40
55,40
55,40
55,38.67402767442783
55,40
55,40
55,31.1566748163986
55,40
55,40
55,40
55,40
55,32.51386626723863
55,40
55,37.56787629557956
55,40
55,37.76527831636005
55,40
55,40
55,40
55,40
55,40
55,34.06479006617798
55,40
55,38.519304501963724
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,33.941625591211775
55,40
55,36.819479493519324
55,40
55,40
55,40
55,40
55,40
55,33.71174439720911
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,22.662834615039994
55,27.430724951217687
55,40
55,40
55,24.82343057244696
55,38.0397904934221
55,40
55,30.43705544962494
55,38.746649671826724
55,40
55,25.043699817553783
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,35.08228780748331
55,40
55,40
55,40
55,40
55,32.469986129177144
55,40
55,40
55,40
55,27.71633019013229
55,40
55,40
55,38.283427240666505
55,40
55,32.18581516991469
55,39.95575242128419
55,40
55,40
55,40
55,40
55,29.822610281734942
55,40
55,40
55,40
55,36.098636346743
55,23.28296651233495
55,40
55,37.260152470931565
55,40
55,40
55,40
55,40
55,31.3431182153038
55,40
55,37.23449985149471
55,40
55,34.54976356710972
55,33.04587130160269
55,35.96233613340003
55,40
55,40
55,38.16677262258788
55,40
55,40
55,40
55,40
55,36.78877633843129
55,40
55,40
55,40
55,40
55,29.13112065221013
55,40
55,40
55,40
55,40
55,40
55,40
55,27.921677337013058
55,25.607516451264456
55,40
55,34.535250579685
55,40
55,38.45752609218724
55,40
55,40
55,40
55,40
55,40
55,40
55,35.501420552504456
55,40
55,40
55,40
55,38.09585412736683
55,25.17635860829863
55,40
55,40
55,37.24423358377065
55,40
55,39.36211784455805
55,31.774245272401977
55,40
55,40
55,40
55,40
55,40
55,40
55,29.14380663799216
55,31.11916149433147
55,35.174287656930765
55,27.358122235196817
55,40
55,40
55,32.41021759986105
55,40
55,40
55,39.60377802278078
55,24.9177204678651
55,40
55,31.86807886659775
55,40
55,17.86813453778631
55,40
55,40
55,38.16940235872041
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,39.52485326424783
55,40
55,39.3021835760809
55,40
55,36.16993593311087
55,32.52909190004991
55,40
55,40
55,40
55,28.436865309383307
55,40
55,40
55,28.89654693571145
55,37.18755778629729
55,30.46363235492901
55,40
55,40
55,40
55,40
55,40
55,40
55,37.88348831171041
55,36.54997603195453
55,40
55,40
55,40
55,36.73616922978586
55,40
55,40
55,40
55,33.9634235506451
55,23.400383458728907
55,32.30453944389041
55,35.162940425314616
55,40
55,40
55,32.678846560288974
55,40
55,40
55,40
55,30.919486833714764
55,26.311494545529932
55,40
55,40
55,40
55,31.46773796393989
55,40
55,40
55,40
55,19.740556940547208
55,31.75854740970928
55,33.30405926834954
55,40
55,40
55,37.39462875410302
55,40
55,20.63971869054763
55,40
55,32.6785153679034
55,32.58802092548519
55,40
55,40
55,39.222329906839754
55,40
55,40
55,40
55,40
55,40
55,33.44783228804384
55,40
55,40
55,40
55,35.32338980306717
55,40
55,40
55,40
55,40
55,33.868822602105794
55,40
55,40
55,40
55,40
55,38.53719255653231
55,40
55,40
55,37.878222778153706
55,40
55,27.240176603794637
55,36.2389938427805
55,40
55,40
55,38.13283106072319
55,40
55,40
55,40
55,40
55,21.944489066344158
55,40
55,40
55,40
55,27.80578659424364
55,40
55,31.3836720547456
55,36.00038507801223
55,29.601143070531787
55,34.02938544417137
55,40
55,40
55,36.73842695253768
55,40
55,40
55,31.250416830938864
55,31.61649235807191
55,40
55,33.50038516534671
55,40
55,40
55,39.68261355279744
55,37.544207778788596
55,40
55,40
55,40
55,40
55,40
55,25.403830291076705
55,40
55,40
55,40
55,40
55,37.965024120600404
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,38.42039995199494
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,32.85278304985468
55,40
55,32.836048551062866
55,40
55,40
55,21.09735221445704
55,35.91126067679306
55,25.484752932283456
55,40
55,40
55,40
55,40
55,40
55,40
55,35.858830774419886
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,32.342768186982404
55,36.2618329803125
55,40
55,40
55,33.03208894557674
55,40
55,40
55,40
55,40
55,40
55,40
55,39.64836480661636
55,40
55,40
55,40
55,40
55,40
55,40
55,36.01103421847779
55,40
55,40
55,37.63391274606622
55,35.028387900564546
55,40
55,38.36892960317637
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,39.29382677846415
55,40
55,40
55,27.807202094673084
55,37.15985992720553
55,40
55,40
55,40
55,19.73779093446051
55,24.4181341935325
55,40
55,24.089669900631826
55,40
55,40
55,40
55,40
55,40
55,40
55,34.97417519774401
55,40
55,40
55,40
55,33.20634804958361
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,31.154082411638267
55,40
55,40
55,35.113325951092904
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,38.59875490080392
55,40
55,40
55,40
55,40
55,35.29379620138106
55,40
55,40
55,35.37083716925771
55,40
55,30.789012614866596
55,39.6251224130296
55,40
55,31.81894259611916
55,40
55,40
55,24.121328743892967
55,40
55,38.33096864887853
55,29.68299503524119
55,40
55,40
55,36.921134404001855
55,40
55,40
55,39.99375344885257
55,40
55,40
55,40
55,40
55,40
55,34.735664079585476
55,29.975358169986578
55,40
55,27.605453466621654
55,40
55,40
55,40
55,40
55,35.928476210893756
55,40
55,40
55,40
