t,GR,ver
1,118.30730848005022,daily
2,0.377294231141468,daily
3,-0.15415067982725836,daily
4,-0.2231435513142097,daily
5,0.3483066942682158,daily
6,-0.3483066942682157,daily
7,0.377294231141468,daily
8,0.10821358464023279,daily
9,-0.05264373348542203,daily
10,0.3780661339200499,daily
11,-0.43363598507486073,daily
12,0.4519851237430572,daily
13,0.11980119981262058,daily
14,-0.01626052087178029,daily
15,0.23293155768037266,daily
16,0.012903404835907782,daily
17,0.074107972153721835,daily
18,0.06899287148695142,daily
19,0.05406722127027579,daily
20,0.08085209662909497,daily
21,0.22508341613203645,daily
22,0.04546237407675741,daily
23,0.05756985182147791,daily
24,0.22454117558084766,daily
25,-0.011236073266925842,daily
26,0.1991286751103359,daily
27,0.06713930283762852,daily
28,-0.017467693040390832,daily
29,0.22402422067980332,daily
30,0.10676797542570614,daily
31,0.09646026618756232,daily
32,-0.05918887139033065,daily
33,0.2352649118465545,daily
34,0.0898186778106497,daily
35,0.03250557040493131,daily
36,0.12979307051391553,daily
37,0.05996346476755727,daily
38,0.17878798421264352,daily
39,0.05453287902025006,daily
40,0.05038506083924798,daily
41,0.1444279838487359,daily
42,0.08163295449687137,daily
43,0.07448622990305913,daily
44,0.10624508006756053,daily
45,0.08958689627636737,daily
46,0.07998052055246925,daily
47,0.13846324089392223,daily
48,0.0965498859756714,daily
49,0.059548214135982575,daily
50,0.08367061664422946,daily
51,0.06817454083571955,daily
52,0.10378334133992695,daily
53,0.06539910638861876,daily
54,0.09420986793831666,daily
55,0.10938908730292299,daily
56,0.10720092632584653,daily
57,0.08249469092082326,daily
58,0.07872315612952763,daily
59,0.07670950044809582,daily
60,0.1178606784220577,daily
61,0.04434373621229723,daily
62,0.07697571206714597,daily
63,0.08739335671879049,daily
64,0.08361683585009427,daily
65,0.09811641147612114,daily
66,0.06403923720545535,daily
67,0.09508315012818142,daily
68,0.061186830185659576,daily
69,0.0636880584275955,daily
70,0.067198202227215,daily
71,0.08603292344360801,daily
72,0.06642570860262582,daily
73,0.04114031810902757,daily
74,0.07270232727156917,daily
75,0.052976929927177084,daily
76,0.04573466035162879,daily
77,0.0786989295582933,daily
78,0.04303936601157306,daily
79,0.039866270656534974,daily
80,0.05573040421321927,daily
81,0.03984978186642121,daily
82,0.03658881347687954,daily
83,0.01574676217227704,daily
84,0.04142866266528194,daily
85,3.373250158482963e-4,daily
86,0.04018387238979118,daily
87,0.006044823795935069,daily
88,0.01958881878389199,daily
89,0.004680687244092101,daily
90,-0.007753025087544515,daily
91,-0.005945509605552718,daily
92,-0.0117678044735149,daily
93,-0.015830975221044125,daily
94,-0.01684677551952249,daily
95,-0.036246033731261826,daily
96,-0.029597292989705724,daily
97,-0.026212268258047833,daily
98,-0.03607200998993257,daily
99,-0.04786556739804783,daily
100,-0.04913922065627457,daily
101,-0.050989039363035275,daily
102,-0.04706675515402666,daily
103,-0.06631963739412218,daily
104,-0.07163591644484818,daily
105,-0.05475508882417918,daily
106,-0.05152828440155635,daily
107,-0.09678011980147362,daily
108,-0.04423743678220857,daily
109,-0.09566783532787367,daily
110,-0.06695911653632149,daily
111,-0.06713456476985992,daily
112,-0.08446081995017557,daily
113,-0.07670700433118019,daily
114,-0.08199727650307548,daily
115,-0.07970674261074258,daily
116,-0.06577094524740223,daily
117,-0.08611491794259261,daily
118,-0.08079241841810654,daily
119,-0.09044707686982685,daily
120,-0.049707057705734234,daily
121,-0.09885216824019966,daily
122,-0.06219045004682354,daily
123,-0.1136381001143972,daily
124,-0.04697858399254115,daily
125,-0.10226332490652529,daily
126,-0.1097583155517109,daily
127,-0.06973564801965323,daily
128,-0.08997446238775443,daily
129,-0.05980178970393948,daily
130,-0.10071054602896688,daily
131,-0.04330694275490054,daily
132,-0.1132329961054566,daily
133,-0.07942891974588852,daily
134,-0.08076813389323438,daily
135,-0.07932231732180807,daily
136,-0.056007636938629375,daily
137,-0.11430125530964208,daily
138,-0.09743149985836755,daily
139,-0.005577259298106154,daily
140,-0.1415532549902954,daily
141,-0.1116805596764142,daily
142,-0.0028860048891349867,daily
143,-0.09069656147081216,daily
144,-0.11738754425316639,daily
145,-0.054858360552046743,daily
146,-0.09455858262501267,daily
147,-0.09758549364146032,daily
148,-0.10814850377723755,daily
149,0.04224230519830075,daily
150,-0.13248918304607887,daily
151,-0.05422155416663893,daily
152,-0.11814967177414766,daily
153,-0.07537813617562336,daily
154,-0.03993271033537099,daily
155,-0.13459015397276464,daily
156,-0.1705269803011177,daily
157,-0.030614635819606863,daily
158,0.005167970158442598,daily
159,-0.06936112779750236,daily
160,-0.16154442885219653,daily
161,0,daily
162,-0.10247866928293738,daily
163,-0.029199154692262353,daily
164,-0.05324451451881224,daily
165,-0.09844007281325252,daily
166,-0.19971329950582378,daily
167,-0.010582109330536972,daily
168,-0.17384692980298236,daily
169,-0.12095261041766256,daily
170,0.13353139262452257,daily
171,-0.2076393647782445,daily
172,-0.13133600206108698,daily
173,0.16164135155641599,daily
174,-0.21570857282669167,daily
175,-0.22778393087071197,daily
176,0.28185115214098766,daily
177,-0.5773153650348236,daily
178,0.3629054936893685,daily
179,-0.3321338350226148,daily
180,0.11441035117774412,daily
181,-0.055569851154810765,daily
182,-0.1880522315029396,daily
183,-0.4769240720903093,daily
184,0.05406722127027579,daily
185,0.4228568508200336,daily
186,-0.2318016140573243,daily
187,-0.6505875661411494,daily
188,0.5596157879354227,daily
189,-0.15415067982725836,daily
190,-0.25131442828090605,daily
191,-0.15415067982725836,daily
192,-0.40546510810816444,daily
193,-0.2876820724517809,daily
194,0.5108256237659907,daily
195,-0.2231435513142097,daily
196,-0.4700036292457356,daily
197,0.47000362924573563,daily
198,0.22314355131420976,daily
199,0,daily
200,-0.2231435513142097,daily
201,-1.3862943611198906,daily
202,1.5040773967762742,daily
203,-0.25131442828090605,daily
204,0.13353139262452257,daily
205,-1.3862943611198906,daily
206,0,daily
207,-0.6931471805599453,daily
208,1.3862943611198906,daily
209,-1.3862943611198906,daily
210,1.0986122886681098,daily
211,-1.0986122886681098,daily
212,1.6094379124341003,daily
213,-0.5108256237659907,daily
214,-0.40546510810816444,daily
215,-0.6931471805599453,daily
216,0,daily
217,1.3862943611198906,daily
218,-0.6931471805599453,daily
219,-0.6931471805599453,daily
220,0,daily
221,0.6931471805599453,daily
222,-115.82240183026222,daily
223,115.82240183026222,daily
224,0,daily
225,-115.82240183026222,daily
226,0,daily
227,0,daily
228,0,daily
229,0,daily
230,0,daily
231,115.82240183026222,daily
232,-0.6931471805599453,daily
233,-115.12925464970229,daily
234,0,daily
235,0,daily
236,0,daily
237,0,daily
238,115.12925464970229,daily
239,-115.12925464970229,daily
240,115.12925464970229,daily
241,-115.12925464970229,daily
242,0,daily
243,0,daily
244,0,daily
245,0,daily
246,0,daily
247,0,daily
248,0,daily
249,0,daily
250,0,daily
11,11.911823869626655,10
12,0.037729423114146794,10
13,0.045198512374305715,10
14,0.07259370033829361,10
15,0.09328200338253655,10
16,0.08174448972375224,10
17,0.11786549963416458,10
18,0.08754687373538997,10
19,0.08362480242006183,10
20,0.09429589789563161,10
21,0.06457449416653613,10
22,0.13044643428722585,10
23,0.08979415932059585,10
24,0.08357102452148159,10
25,0.10765119416674439,10
26,0.08323443107201454,10
27,0.10185695809945736,10
28,0.10116009116784802,10
29,0.0925140347151138,10
30,0.10950973465606655,10
31,0.11210132253572766,10
32,0.09923900754128025,10
33,0.08877388299457145,10
34,0.1065433889970791,10
35,0.0930711392200593,10
36,0.09744530358724503,10
37,0.09051174312760299,10
38,0.08979415932059585,10
39,0.10941972704589929,10
40,0.09247059287994397,10
41,0.08683230142129815,10
42,0.0916290731874155,10
43,0.10571125577613572,10
44,0.08963338758178618,10
45,0.09127602780747726,10
46,0.09698416039462086,10
47,0.09200290539847623,10
48,0.09985288301111274,10
49,0.09162907318741552,10
50,0.09213060669898877,10
51,0.09545916227948692,10
52,0.08783381797818529,10
53,0.09004885666249085,10
54,0.0891401443110468,10
55,0.08793662309812242,10
56,0.08991684220077799,10
57,0.09263888277811572,10
58,0.08704202778080582,10
59,0.08525935479619144,10
60,0.08697548342740276,10
61,0.09039448960518559,10
62,0.08801140914284336,10
63,0.08533064621556526,10
64,0.08753007124858243,10
65,0.08647076803976018,10
66,0.08534350045708,10
67,0.08102733154504088,10
68,0.0822861774657767,10
69,0.0805325448713899,10
70,0.07923040066933987,10
71,0.07416415304985559,10
72,0.07833307177298668,10
73,0.07727807142653466,10
74,0.07265276756555837,10
75,0.07156131670770585,10
76,0.06704736855281145,10
77,0.0652169108674288,10
78,0.06357848881043998,10
79,0.06176374239303133,10
80,0.059381563615925274,10
81,0.0582347838145257,10
82,0.053616469656807025,10
83,0.0506327801442324,10
84,0.048093424550557345,10
85,0.04496605808992862,10
86,0.03970209759879574,10
87,0.03914701880261198,10
88,0.03188160822637616,10
89,0.02953655350360805,10
90,0.026017995162363763,10
91,0.019669652232287387,10
92,0.015090123085089993,10
93,0.010254461290050549,10
94,0.007096687550718432,10
95,0.001269143732237989,10
96,-0.002389192142473023,10
97,-0.009367308680422714,10
98,-0.012593017885821005,10
99,-0.01815910076320346,10
100,-0.023413726227417452,10
101,-0.027552345784290458,10
102,-0.032056698760038714,10
103,-0.03558659382808989,10
104,-0.0406354600453977,10
105,-0.046114374137930264,10
106,-0.047965279647222,10
107,-0.050158378788407065,10
108,-0.05721516394274964,10
109,-0.05803170662197724,10
110,-0.06281193341495983,10
111,-0.06459392300296452,10
112,-0.06620847554364698,10
113,-0.06994788202326187,10
114,-0.07098661871696767,10
115,-0.0720227547227904,10
116,-0.07451792010144674,10
117,-0.07594218618603132,10
118,-0.07487566600014323,10
119,-0.07853116416373303,10
120,-0.07800908831792834,10
121,-0.07628388243486962,10
122,-0.07945564278190359,10
123,-0.07722860579156839,10
124,-0.0809217153698901,10
125,-0.07741984611883666,10
126,-0.07967550434841493,10
127,-0.0840742413788458,10
128,-0.08243631438655186,10
129,-0.08335451878351664,10
130,-0.08028999006692791,10
131,-0.08539033889925117,10
132,-0.07983581635072126,10
133,-0.08494007095658457,10
134,-0.0815191529197337,10
135,-0.08489810790980303,10
136,-0.0826040071513313,10
137,-0.07722893929002315,10
138,-0.08168550001902204,10
139,-0.08243120376608334,10
140,-0.07700875072550002,10
141,-0.08109302162163287,10
142,-0.08793038331378424,10
143,-0.07689568419215206,10
144,-0.07802244836464443,10
145,-0.08168438940063763,10
146,-0.0792379937236615,10
147,-0.08309308829229983,10
148,-0.08142151212548165,10
149,-0.08249321251736866,10
150,-0.07771125606772797,10
151,-0.07680484887330631,10
152,-0.07105894832232879,10
153,-0.08258531501083005,10
154,-0.08105347248131117,10
155,-0.07330798908953164,10
156,-0.08128116843160342,10
157,-0.08887800819921393,10
158,-0.08218092241702858,10
159,-0.07084927502346057,10
160,-0.08200961832304088,10
161,-0.08491514290365264,10
162,-0.07949298748698876,10
163,-0.07792588723786772,10
164,-0.07330798908953162,10
165,-0.07463916950787575,10
166,-0.07102416139192454,10
167,-0.07394279331239514,10
168,-0.07193954066348815,10
169,-0.08984103065963064,10
170,-0.09500017892164667,10
171,-0.06549259677397476,10
172,-0.0862565332517992,10
173,-0.08914226652961417,10
174,-0.07005821590474634,10
175,-0.08630462173553428,10
176,-0.09923900754128022,10
177,-0.051082562376599076,10
178,-0.10775588794702774,10
179,-0.05408064559779266,10
180,-0.07519876805828789,10
181,-0.07711087220296572,10
182,-0.06190392084062236,10
183,-0.06757554378480762,10
184,-0.13143208614948015,10
185,-0.1044545067397834,10
186,-0.03939042857070884,10
187,-0.09075570519054003,10
188,-0.09808292530117262,10
189,-0.0784118958765672,10
190,-0.06061358035703156,10
191,-0.09718605830289657,10
192,-0.10704414117014133,10
193,-0.12878542883066382,10
194,-0.10986122886681098,10
195,-0.06418538861723949,10
196,-0.12878542883066382,10
197,-0.15260563034950494,10
198,-0.040546510810816436,10
199,-0.07419373447293773,10
200,-0.05877866649021189,10
201,-0.05596157879354226,10
202,-0.17917594692280547,10
203,0.011778303565638382,10
204,0.015415067982725867,10
205,-0.022314355131420948,10
206,-0.13862943611198902,10
207,-0.09162907318741548,10
208,-0.20794415416798356,10
209,-0.09162907318741549,10
210,-0.23025850929940456,10
211,-0.0980829253011726,10
212,-0.06931471805599451,10
213,-0.058778666490211906,10
214,-0.08472978603872038,10
215,-0.13862943611198908,10
216,-0.06931471805599454,10
217,-0.06931471805599454,10
218,0.13862943611198905,10
219,-0.06931471805599454,10
220,-1.663166132592764e-17,10
221,-0.10986122886681099,10
222,0.06931471805599451,10
223,-11.673869256213639,10
224,-0.04054651081081644,10
225,0,10
226,-11.512925464970229,10
227,-11.512925464970229,10
228,-11.651554901082216,10
229,-11.582240183026222,10
230,-11.512925464970229,10
231,-11.512925464970229,10
232,0,10
233,11.512925464970229,10
234,-11.582240183026224,10
235,-11.582240183026224,10
236,-1.2315148900654548e-15,10
237,-1.2317924458216113e-15,10
238,-1.2313761121873768e-15,10
239,11.512925464970229,10
240,-1.2309597785531424e-15,10
241,11.512925464970229,10
242,-11.582240183026224,10
243,-11.512925464970229,10
244,0,10
