t,ct
55,40
55,40
55,40
55,28.474971286850046
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,36.94737661501919
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,31.344946256293227
55,40
55,40
55,31.358971322062494
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,35.38663282753237
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,35.86239130892712
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,33.43315150736076
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,20.345138848240147
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,34.84135261797327
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,14.698590525249735
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,35.98608988880689
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,21.674482295562655
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,37.11647851935817
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,23.653568770929418
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,24.97217357116038
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
55,40
