step,S,E,I,R,inc,beta,Rt
0,999900,0,100,0,0,0.3125,2.49975
1,999876,24,90,10,24,0.3125,2.49969
2,999841,51,90,18,35,0.3125,2.4996025
3,999811,65,94,30,30,0.3125,2.4995275
4,999787,80,95,38,24,0.3125,2.4994674999999997
5,999753,95,104,48,34,0.3125,2.4993825
6,999729,98,111,62,24,0.3125,2.4993225
7,999694,115,115,76,35,0.3125,2.499235
8,999655,130,133,82,39,0.3125,2.4991375
9,999618,137,148,97,37,0.3125,2.499045
10,999564,164,159,113,54,0.3125,2.49891
11,999529,167,170,134,35,0.3125,2.4988225
12,999474,180,197,149,55,0.3125,2.498685
13,999412,189,227,172,62,0.3125,2.4985299999999997
14,999351,207,240,202,61,0.3125,2.4983775
15,999274,239,259,228,77,0.3125,2.498185
16,999196,275,266,263,78,0.3125,2.4979899999999997
17,999112,301,292,295,84,0.3125,2.49778
18,999022,332,309,337,90,0.3125,2.4975549999999997
19,998927,348,348,377,95,0.3125,2.4973175
20,998824,365,399,412,103,0.3125,2.4970600000000003
21,998695,408,442,455,129,0.3125,2.4967375
22,998560,451,481,508,135,0.3125,2.4964
23,998417,491,531,561,143,0.3125,2.4960425
24,998238,552,582,628,179,0.3125,2.495595
25,998061,602,643,694,177,0.3125,2.4951525
26,997845,684,719,752,216,0.3125,2.4946125
27,997614,767,783,836,231,0.3125,2.4940350000000002
28,997387,806,901,906,227,0.3125,2.4934675
29,997103,913,980,1004,284,0.3125,2.4927574999999997
30,996787,1015,1095,1103,316,0.3125,2.4919675
31,996439,1143,1182,1236,348,0.3125,2.4910975
32,996111,1220,1306,1363,328,0.3125,2.4902775
33,995696,1370,1396,1538,415,0.3125,2.48924
34,995242,1523,1535,1700,454,0.3125,2.488105
35,994773,1666,1667,1894,469,0.3125,2.4869325
36,994239,1814,1847,2100,534,0.3125,2.4855975
37,993672,1982,2034,2312,567,0.3125,2.48418
38,992994,2232,2253,2521,678,0.3125,2.482485
39,992278,2440,2499,2783,716,0.3125,2.480695
40,991525,2615,2778,3082,753,0.3125,2.4788125
41,990655,2900,3049,3396,870,0.3125,2.4766375
42,989711,3213,3324,3752,944,0.3125,2.4742775
43,988694,3531,3644,4131,1017,0.3125,2.471735
44,987563,3857,4026,4554,1131,0.3125,2.4689075
45,986326,4237,4442,4995,1237,0.3125,2.465815
46,984986,4593,4899,5522,1340,0.3125,2.462465
47,983447,5101,5359,6093,1539,0.3125,2.4586175
48,981752,5703,5865,6680,1695,0.3125,2.45438
49,979953,6273,6394,7380,1799,0.3125,2.4498824999999997
50,977997,6914,6980,8109,1956,0.3125,2.4449925
51,975903,7500,7664,8933,2094,0.3125,2.4397575
52,973580,8187,8408,9825,2323,0.3125,2.43395
53,971100,8867,9279,10754,2480,0.3125,2.42775
54,968375,9665,10146,11814,2725,0.3125,2.4209375
55,965335,10522,11163,12980,3040,0.3125,2.4133375
56,961951,11587,12152,14310,3384,0.3125,2.4048775
57,958276,12715,13264,15745,3675,0.3125,2.39569
58,954300,13864,14514,17322,3976,0.3125,2.3857500000000003
59,950007,14953,16051,18989,4293,0.3125,2.3750175000000002
60,945177,16629,17381,20813,4830,0.3125,2.3629425
61,940128,18022,18989,22861,5049,0.3125,2.35032
62,934675,19573,20603,25149,5453,0.3125,2.3366875
63,928724,21228,22464,27584,5951,0.3125,2.32181
64,922254,23039,24481,30226,6470,0.3125,2.305635
65,915117,25019,26792,33072,7137,0.3125,2.2877925
66,907508,27152,29043,36297,7609,0.3125,2.26877
67,899140,29433,31695,39732,8368,0.3125,2.24785
68,890244,31952,34321,43483,8896,0.3125,2.22561
69,880763,34318,37263,47656,9481,0.3125,2.2019075
70,870623,36762,40537,52078,10140,0.3125,2.1765575
71,859572,39603,44133,56692,11051,0.3125,2.14893
72,847762,42750,47599,61889,11810,0.3125,2.119405
73,835456,45719,51271,67554,12306,0.3125,2.08864
74,822222,48810,55258,73710,13234,0.3125,2.055555
