step,S,E,I,R,inc,beta,Rt
75,808268,51933,59621,80178,13954,0.3125,2.02067
76,793661,55000,64087,87252,14607,0.3125,1.9841525
77,777858,58672,68581,94889,15803,0.3125,1.9446450000000002
78,761360,62278,73345,103017,16498,0.3125,1.9034
79,744191,65538,78677,111594,17169,0.3125,1.8604775
80,726038,69136,84049,120777,18153,0.3125,1.815095
81,707147,72633,89786,130434,18891,0.3125,1.7678675
82,687552,76366,95110,140972,19595,0.3125,1.7188800000000002
83,667646,79194,100924,152236,19906,0.3125,1.669115
84,646898,82488,106555,164059,20748,0.3125,1.617245
85,626143,84821,112327,176709,20755,0.3125,1.5653575
86,604537,87586,118133,189744,21606,0.3125,1.5113425
87,582800,90029,123395,203776,21737,0.3125,1.4569999999999999
88,560633,92154,129002,218211,22167,0.3125,1.4015825000000002
89,538362,94165,134095,233378,22271,0.3125,1.3459050000000001
90,516263,95359,139299,249079,22099,0.3125,1.2906575
91,494295,96353,144111,265241,21968,0.3125,1.2357375
92,472584,96751,148389,282276,21711,0.3125,1.18146
93,451214,96937,152206,299643,21370,0.3125,1.1280350000000001
94,430201,96349,155826,317624,21013,0.3125,1.0755025
95,409936,95375,158667,336022,20265,0.3125,1.02484
96,390262,93957,161264,354517,19674,0.3125,0.9756549999999999
97,371097,92265,163204,373434,19165,0.3125,0.9277425
98,352611,90360,164410,392619,18486,0.3125,0.8815275
99,334989,88144,164797,412070,17622,0.3125,0.8374725
100,318212,85452,164867,431469,16777,0.3125,0.79553
101,302269,82441,164394,450896,15943,0.3125,0.7556725
102,287059,79519,163185,470237,15210,0.3125,0.7176475
103,272825,76024,161562,489589,14234,0.3125,0.6820625
104,259575,72366,159499,508560,13250,0.3125,0.6489375
105,247031,68976,156622,527371,12544,0.3125,0.6175775
106,235117,65689,153359,545835,11914,0.3125,0.5877924999999999
107,224302,61849,150056,563793,10815,0.3125,0.560755
108,213955,58538,145900,581607,10347,0.3125,0.5348875
109,204552,55136,141568,598744,9403,0.3125,0.5113800000000001
110,195758,51710,137217,615315,8794,0.3125,0.48939499999999997
111,187535,48472,132515,631478,8223,0.3125,0.4688375
112,179978,45342,127529,647151,7557,0.3125,0.449945
113,172979,42346,122703,661972,6999,0.3125,0.4324475
114,166531,39547,117509,676413,6448,0.3125,0.4163275
115,160577,36738,112354,690331,5954,0.3125,0.4014425
116,155002,34094,107601,703303,5575,0.3125,0.387505
117,149887,31706,102552,715855,5115,0.3125,0.3747175
118,145169,29430,97689,727712,4718,0.3125,0.3629225
119,140859,27139,92838,739164,4310,0.3125,0.35214750000000006
120,136758,25373,87645,750224,4101,0.3125,0.34189499999999995
121,133043,23345,83154,760458,3715,0.3125,0.3326075
122,129552,21836,78424,770188,3491,0.3125,0.32388
123,126436,20042,74120,779402,3116,0.3125,0.31609
124,123463,18559,69816,788162,2973,0.3125,0.30865750000000003
125,120779,17168,65699,796354,2684,0.3125,0.3019475
126,118374,15713,61815,804098,2405,0.3125,0.295935
127,116131,14376,57903,811590,2243,0.3125,0.2903275
128,114081,13170,54307,818442,2050,0.3125,0.2852025
129,112150,12190,50830,824830,1931,0.3125,0.280375
130,110404,11271,47553,830772,1746,0.3125,0.27601
131,108732,10462,44260,836546,1672,0.3125,0.27183
132,107239,9611,41340,841810,1493,0.3125,0.2680975
133,105860,8891,38643,846606,1379,0.3125,0.26465
134,104588,8248,36014,851150,1272,0.3125,0.26147
135,103413,7589,33678,855320,1175,0.3125,0.2585325
136,102302,6989,31399,859310,1111,0.3125,0.255755
137,101311,6495,29227,862967,991,0.3125,0.2532775
138,100412,5960,27141,866487,899,0.3125,0.25103
139,99518,5551,25231,869700,894,0.3125,0.248795
140,98742,5092,23514,872652,776,0.3125,0.246855
141,98048,4684,21827,875441,694,0.3125,0.24512
142,97356,4353,20321,877970,692,0.3125,0.24339
143,96724,3990,18932,880354,632,0.3125,0.24181000000000002
144,96162,3666,17582,882590,562,0.3125,0.24040499999999998
145,95630,3426,16257,884687,532,0.3125,0.239075
146,95146,3179,15028,886647,484,0.3125,0.237865
147,94707,2908,13957,888428,439,0.3125,0.2367675
148,94313,2632,13105,889950,394,0.3125,0.23578249999999998
149,93902,2462,12151,891485,411,0.3125,0.234755
150,93542,2266,11254,892938,360,0.3125,0.233855
151,93201,2098,10439,894262,341,0.3125,0.2330025
152,92898,1940,9686,895476,303,0.3125,0.23224499999999998
153,92617,1806,8930,896647,281,0.3125,0.2315425
154,92347,1678,8221,897754,270,0.3125,0.2308675
155,92111,1560,7609,898720,236,0.3125,0.2302775
156,91912,1423,7002,899663,199,0.3125,0.22977999999999998
157,91719,1288,6542,900451,193,0.3125,0.2292975
158,91525,1196,6078,901201,194,0.3125,0.22881249999999997
159,91344,1115,5659,901882,181,0.3125,0.22835999999999998
160,91190,1042,5216,902552,154,0.3125,0.22797499999999998
161,91036,972,4847,903145,154,0.3125,0.22759000000000001
162,90897,923,4468,903712,139,0.3125,0.22724250000000001
163,90762,878,4138,904222,135,0.3125,0.226905
164,90634,825,3825,904716,128,0.3125,0.226585
165,90518,764,3566,905152,116,0.3125,0.226295
166,90423,670,3322,905585,95,0.3125,0.22605750000000002
167,90329,620,3070,905981,94,0.3125,0.2258225
168,90250,551,2871,906328,79,0.3125,0.225625
169,90180,489,2679,906652,70,0.3125,0.22544999999999998
170,90100,471,2452,906977,80,0.3125,0.22525
171,90035,422,2282,907261,65,0.3125,0.2250875
172,89978,390,2111,907521,57,0.3125,0.224945
173,89911,368,1967,907754,67,0.3125,0.22477750000000002
174,89857,345,1811,907987,54,0.3125,0.22464250000000002
175,89814,309,1653,908224,43,0.3125,0.224535
176,89757,278,1569,908396,57,0.3125,0.2243925
177,89725,245,1457,908573,32,0.3125,0.2243125
178,89679,251,1339,908731,46,0.3125,0.2241975
179,89646,227,1250,908877,33,0.3125,0.224115
180,89609,218,1141,909032,37,0.3125,0.22402249999999999
181,89574,207,1042,909177,35,0.3125,0.223935
182,89545,190,950,909315,29,0.3125,0.2238625
183,89527,164,879,909430,18,0.3125,0.2238175
184,89508,149,810,909533,19,0.3125,0.22377000000000002
185,89479,152,738,909631,29,0.3125,0.2236975
186,89456,141,682,909721,23,0.3125,0.22363999999999998
187,89444,120,634,909802,12,0.3125,0.22360999999999998
188,89423,117,583,909877,21,0.3125,0.22355750000000002
189,89405,104,552,909939,18,0.3125,0.2235125
190,89391,89,524,909996,14,0.3125,0.2234775
191,89379,79,479,910063,12,0.3125,0.2234475
192,89371,68,452,910109,8,0.3125,0.2234275
193,89365,55,409,910171,6,0.3125,0.22341250000000001
194,89355,53,369,910223,10,0.3125,0.22338750000000002
195,89347,55,337,910261,8,0.3125,0.2233675
196,89342,42,306,910310,5,0.3125,0.22335500000000003
197,89334,41,283,910342,8,0.3125,0.223335
198,89324,41,258,910377,10,0.3125,0.22331
199,89314,42,235,910409,10,0.3125,0.223285
200,89306,42,220,910432,8,0.3125,0.223265
201,89304,37,208,910451,2,0.3125,0.22326
202,89295,35,196,910474,9,0.3125,0.2232375
203,89288,37,178,910497,7,0.3125,0.22322000000000003
204,89280,36,166,910518,8,0.3125,0.2232
205,89278,24,163,910535,2,0.3125,0.22319499999999998
206,89276,23,142,910559,2,0.3125,0.22319
207,89275,20,133,910572,1,0.3125,0.22318749999999998
208,89271,21,118,910590,4,0.3125,0.2231775
209,89270,20,109,910601,1,0.3125,0.223175
210,89267,19,103,910611,3,0.3125,0.2231675
211,89266,16,99,910619,1,0.3125,0.223165
212,89261,15,90,910634,5,0.3125,0.22315249999999998
213,89258,17,86,910639,3,0.3125,0.223145
214,89256,16,79,910649,2,0.3125,0.22314
215,89255,15,71,910659,1,0.3125,0.2231375
216,89254,15,66,910665,1,0.3125,0.223135
217,89250,14,61,910675,4,0.3125,0.223125
218,89248,11,61,910680,2,0.3125,0.22311999999999999
219,89247,8,57,910688,1,0.3125,0.22311750000000002
220,89246,8,56,910690,1,0.3125,0.223115
221,89244,9,48,910699,2,0.3125,0.22311
222,89244,7,44,910705,0,0.3125,0.22311
223,89242,9,35,910714,2,0.3125,0.223105
224,89240,10,31,910719,2,0.3125,0.2231
225,89240,8,28,910724,0,0.3125,0.2231
226,89240,6,23,910731,0,0.3125,0.2231
227,89240,5,20,910735,0,0.3125,0.2231
228,89240,5,19,910736,0,0.3125,0.2231
229,89240,5,17,910738,0,0.3125,0.2231
230,89240,4,17,910739,0,0.3125,0.2231
231,89238,4,18,910740,2,0.3125,0.223095
232,89237,4,15,910744,1,0.3125,0.2230925
233,89237,2,16,910745,0,0.3125,0.2230925
234,89237,2,16,910745,0,0.3125,0.2230925
235,89237,2,13,910748,0,0.3125,0.2230925
236,89237,1,13,910749,0,0.3125,0.2230925
237,89237,0,13,910750,0,0.3125,0.2230925
238,89236,1,10,910753,1,0.3125,0.22308999999999998
239,89236,1,8,910755,0,0.3125,0.22308999999999998
240,89235,2,7,910756,1,0.3125,0.2230875
241,89235,2,6,910757,0,0.3125,0.2230875
242,89235,2,5,910758,0,0.3125,0.2230875
243,89235,2,5,910758,0,0.3125,0.2230875
244,89235,1,6,910758,0,0.3125,0.2230875
245,89235,1,6,910758,0,0.3125,0.2230875
246,89235,1,6,910758,0,0.3125,0.2230875
247,89235,1,6,910758,0,0.3125,0.2230875
248,89235,1,5,910759,0,0.3125,0.2230875
249,89235,1,5,910759,0,0.3125,0.2230875
250,89235,0,6,910759,0,0.3125,0.2230875
