t,GR,ver
1,118.26474886563143,daily
2,-0.24512245803298496,daily
3,0.20067069546215124,daily
4,-0.3184537311185346,daily
5,0.17185025692665923,daily
6,0.19105523676270922,daily
7,0.12260232209233228,daily
8,0.074107972153721835,daily
9,-0.03636764417087483,daily
10,0.2595111954850846,daily
11,-0.15415067982725836,daily
12,0.2097205309820691,daily
13,0.1502822030493379,daily
14,0.02298951822469878,daily
15,0.24116205681688804,daily
16,-0.21868920096482944,daily
17,0.021978906718775167,daily
18,0.14165051706302684,daily
19,0.12405264866997882,daily
20,-0.06899287148695143,daily
21,0.2087548138621102,daily
22,0.05635293655113178,daily
23,0.013605652055778678,daily
24,0.18457127652797004,daily
25,0.1264841471091197,daily
26,-0.22067136216882063,daily
27,0.2402798335571971,daily
28,0.08376988306545874,daily
29,0.2087548138621102,daily
30,-0.09097177820572676,daily
31,-0.11778303565638351,daily
32,0.1941560144409574,daily
33,0.014598799421152631,daily
34,0.2144098713454551,daily
35,0.07327220110632572,daily
36,-0.03315220731690051,daily
37,0.1264841471091197,daily
38,0.00985229644301164,daily
39,-0.07109592168373022,daily
40,0.26236426446749106,daily
41,0.0551320706947163,daily
42,0.01142869582362285,daily
43,0.0694977944969215,daily
44,0.08465288533033681,daily
45,-0.01967276559870478,daily
46,0.17289537111340922,daily
47,0.09048722338098228,daily
48,0,daily
49,0.06882322181312016,daily
50,-0.019185240721348612,daily
51,0.17095779814363948,daily
52,0.14595391262307986,daily
53,-0.01959100947716975,daily
54,0.014285957247476434,daily
55,0.06851994643675614,daily
56,0.11409707497745995,daily
57,0.08083775570224049,daily
58,0.09233324880404782,daily
59,0.1313551132019272,daily
60,-0.07578526204711637,daily
61,0.11947894631006403,daily
62,0.11045699556431061,daily
63,0.002797204621061219,daily
64,0.08133109093099089,daily
65,0.10733281831664289,daily
66,0.019847979798511797,daily
67,0.07216244624823058,daily
68,0.1104110314438949,daily
69,0.03283044928300996,daily
70,0.044690188957816616,daily
71,0.05553835062717422,daily
72,0.10309775909757032,daily
73,0.06310786123504193,daily
74,0.06986395168140414,daily
