step,S,E,I,R,inc,beta,Rt
0,999900,0,100,0,0,0.3125,2.49975
1,999860,40,92,8,40,0.3125,2.49965
2,999824,67,90,19,36,0.3125,2.4995600000000002
3,999806,72,90,32,18,0.3125,2.4995149999999997
4,999775,82,103,40,31,0.3125,2.4994375
5,999747,82,119,52,28,0.3125,2.4993675
6,999705,112,122,61,42,0.3125,2.4992625
7,999669,123,137,71,36,0.3125,2.4991725000000002
8,999632,132,147,89,37,0.3125,2.4990799999999997
9,999583,145,167,105,49,0.3125,2.4989575
10,999512,197,173,118,71,0.3125,2.49878
11,999446,217,200,137,66,0.3125,2.498615
12,999382,227,231,160,64,0.3125,2.498455
13,999306,248,261,185,76,0.3125,2.498265
14,999242,262,286,210,64,0.3125,2.498105
15,999138,299,317,246,104,0.3125,2.497845
16,999039,341,325,295,99,0.3125,2.4975975
17,998951,353,360,336,88,0.3125,2.4973775000000002
18,998843,384,401,372,108,0.3125,2.4971075000000003
19,998721,427,436,416,122,0.3125,2.4968025
20,998584,472,489,455,137,0.3125,2.49646
21,998434,535,515,516,150,0.3125,2.496085
22,998296,558,572,574,138,0.3125,2.49574
23,998112,615,631,642,184,0.3125,2.49528
24,997907,681,703,709,205,0.3125,2.4947675
25,997691,756,762,791,216,0.3125,2.4942275
26,997441,824,863,872,250,0.3125,2.4936025
27,997190,904,933,973,251,0.3125,2.492975
28,996901,1001,1010,1088,289,0.3125,2.4922525
29,996562,1113,1125,1200,339,0.3125,2.491405
30,996211,1207,1252,1330,351,0.3125,2.4905275
31,995823,1319,1396,1462,388,0.3125,2.4895575
32,995389,1496,1464,1651,434,0.3125,2.4884725
33,994915,1632,1625,1828,474,0.3125,2.4872875
34,994417,1777,1776,2030,498,0.3125,2.4860425
35,993829,1980,1936,2255,588,0.3125,2.4845725
36,993205,2197,2117,2481,624,0.3125,2.4830125
37,992573,2322,2362,2743,632,0.3125,2.4814325
38,991845,2538,2580,3037,728,0.3125,2.4796125
39,991027,2797,2799,3377,818,0.3125,2.4775675
40,990182,2996,3131,3691,845,0.3125,2.475455
41,989198,3293,3445,4064,984,0.3125,2.472995
42,988132,3659,3744,4465,1066,0.3125,2.47033
43,986968,4023,4113,4896,1164,0.3125,2.4674199999999997
44,985638,4459,4561,5342,1330,0.3125,2.464095
45,984222,4867,5036,5875,1416,0.3125,2.4605550000000003
46,982641,5382,5524,6453,1581,0.3125,2.4566025
47,980881,5947,6039,7133,1760,0.3125,2.4522025
48,979024,6515,6604,7857,1857,0.3125,2.44756
49,976988,7124,7271,8617,2036,0.3125,2.44247
50,974736,7828,7946,9490,2252,0.3125,2.43684
51,972282,8573,8748,10397,2454,0.3125,2.430705
52,969603,9301,9674,11422,2679,0.3125,2.4240075
53,966590,10253,10583,12574,3013,0.3125,2.4164749999999997
54,963385,11148,11664,13803,3205,0.3125,2.4084625
55,959876,12254,12635,15235,3509,0.3125,2.3996899999999997
56,956195,13196,13869,16740,3681,0.3125,2.3904875
57,952034,14445,15195,18326,4161,0.3125,2.3800850000000002
58,947521,15801,16558,20120,4513,0.3125,2.3688024999999997
59,942581,17304,18033,22082,4940,0.3125,2.3564525
60,937313,18731,19711,24245,5268,0.3125,2.3432825
61,931462,20393,21533,26612,5851,0.3125,2.328655
62,925054,22309,23485,29152,6408,0.3125,2.312635
63,918178,24329,25570,31923,6876,0.3125,2.295445
64,910792,26415,27841,34952,7386,0.3125,2.27698
65,902817,28586,30396,38201,7975,0.3125,2.2570425
66,894052,31192,32973,41783,8765,0.3125,2.23513
67,884885,33412,35958,45745,9167,0.3125,2.2122125
68,875067,35802,39225,49906,9818,0.3125,2.1876675
69,864443,38527,42423,54607,10624,0.3125,2.1611075
70,853174,41319,45906,59601,11269,0.3125,2.132935
71,840857,44476,49539,65128,12317,0.3125,2.1021425
72,827935,47620,53509,70936,12922,0.3125,2.0698374999999998
73,814183,51034,57449,77334,13752,0.3125,2.0354575
74,799769,54271,61938,84022,14414,0.3125,1.9994224999999999
75,784655,57368,66625,91352,15114,0.3125,1.9616375
76,768469,61006,71400,99125,16186,0.3125,1.9211725
77,751363,64548,76561,107528,17106,0.3125,1.8784075
78,733812,68004,81580,116604,17551,0.3125,1.83453
79,715064,71669,87155,126112,18748,0.3125,1.78766
80,695820,74878,92998,136304,19244,0.3125,1.73955
81,675906,78422,98252,147420,19914,0.3125,1.689765
82,655488,81424,104026,159062,20418,0.3125,1.63872
83,634773,84106,109984,171137,20715,0.3125,1.5869325
84,613351,86782,115834,184033,21422,0.3125,1.5333774999999998
85,591578,89470,121445,197507,21773,0.3125,1.4789450000000002
86,569539,91676,127042,211743,22039,0.3125,1.4238475
87,547600,93517,132231,226652,21939,0.3125,1.369
88,525346,95107,137453,242094,22254,0.3125,1.313365
89,503280,96137,142161,258422,22066,0.3125,1.2582
90,481638,96690,146540,275132,21642,0.3125,1.2040950000000001
91,460060,96932,150749,292259,21578,0.3125,1.15015
92,438842,96712,154406,310040,21218,0.3125,1.097105
93,418348,95677,157912,328063,20494,0.3125,1.04587
94,398269,94469,160629,346633,20079,0.3125,0.9956725
95,378906,93055,162515,365524,19363,0.3125,0.947265
96,360211,91243,163974,384572,18695,0.3125,0.9005275
97,342073,89194,164870,403863,18138,0.3125,0.8551825000000001
98,325123,86535,164863,423479,16950,0.3125,0.8128075
99,308807,83847,164518,442828,16316,0.3125,0.7720175
100,293341,80845,163593,462221,15466,0.3125,0.7333525000000001
101,278675,77804,162091,481430,14666,0.3125,0.6966875
102,264858,74246,160522,500374,13817,0.3125,0.662145
103,252023,70720,158030,519227,12835,0.3125,0.6300574999999999
104,239834,67526,154886,537754,12189,0.3125,0.599585
105,228582,63959,151259,556200,11252,0.3125,0.571455
106,218061,60413,147410,574116,10521,0.3125,0.5451525
