t,GR,ver
1,117.3264792270385,daily
2,-0.25131442828090605,daily
3,0.25131442828090617,daily
4,-0.40546510810816444,daily
5,0.28768207245178085,daily
6,0.22314355131420976,daily
7,0.09531017980432493,daily
8,0.0870113769896297,daily
9,-0.08701137698962981,daily
10,0.3746934494414107,daily
11,-0.2876820724517809,daily
12,0.28768207245178085,daily
13,-0.5753641449035618,daily
14,0.6931471805599453,daily
15,-0.05715841383994864,daily
16,-0.6359887667199967,daily
17,0.7985076962177716,daily
18,-0.16251892949777494,daily
19,-0.2682639865946794,daily
20,0.5260930958967791,daily
21,-0.2006706954621511,daily
22,0.2451224580329849,daily
23,0.12260232209233228,daily
24,-0.1670540846631662,daily
25,0,daily
26,0.4054651081081644,daily
27,0.1410785982599056,daily
28,-0.3053816495511819,daily
29,0.06899287148695142,daily
30,0.09531017980432493,daily
31,-0.12921173148000623,daily
32,0.37037378829689427,daily
33,0.1124779834266903,daily
34,-0.294799540220645,daily
35,0.08223809823697201,daily
36,0.27443684570176036,daily
37,-0.08338160893905101,daily
38,0.06317890162153167,daily
39,-0.020619287202735703,daily
40,0.3483066942682158,daily
41,0.028987536873252187,daily
42,0.08223809823697201,daily
43,0.03871451218069043,daily
44,-0.16475523307605547,daily
45,0.4300363688386697,daily
46,-0.06001800972625292,daily
47,-0.07490130817311771,daily
48,0.03278982282299097,daily
49,0.16788087263916035,daily
50,-0.06575137756278042,daily
51,0.20155291872184214,daily
52,-0.007968169649176845,daily
53,0.054488185284069776,daily
54,0.06595796779179737,daily
55,-0.058410762156414484,daily
56,0.19724720701063034,daily
57,0.08855339734144503,daily
58,-0.05815592015707407,daily
59,-0.018127384592556715,daily
60,0.22800974096538265,daily
61,-0.024571260730505317,daily
62,0.0903226382932857,daily
63,0.026907452919924402,daily
64,0.047525141862845274,daily
65,0.05739279799665265,daily
66,0.10575884268958186,daily
67,0.0489608271957017,daily
68,0.04667513857012989,daily
69,0.07527062778986578,daily
70,0.11946004426675269,daily
71,-0.0244245520070749,daily
72,0.06385147198653277,daily
73,0.08872811560868422,daily
74,0.03019973986363241,daily
75,0.02038575692447396,daily
76,0.1554310897333028,daily
77,0.020893447588277388,daily
78,0.04950598381345476,daily
79,0.11957034623047925,daily
80,0,daily
81,0.06751029152672863,daily
82,-0.0029717703891574817,daily
83,-0.005970166986503796,daily
84,0.16647814730922858,daily
85,0.06975303876034909,daily
86,0.06851994643675614,daily
87,0.022914259522875832,daily
88,0.08376988306545874,daily
89,0.02061928720273561,daily
90,0.05391376465983123,daily
91,-0.003690041087453907,daily
92,0.11757763358110027,daily
93,0.016300279404960656,daily
94,0.1294811643254999,daily
95,-0.031015829098927583,daily
96,0.023888215174695374,daily
97,0.13433579004019858,daily
98,-0.002504697615009282,daily
99,0.0870113769896297,daily
100,0.014831988955330604,daily
101,0.06680096554154069,daily
102,0.008438868645864604,daily
103,0.11871630683938197,daily
104,0.01297515886313346,daily
105,0.05726072086341507,daily
106,0.06317890162153167,daily
107,0.030153038170687457,daily
108,0.03080766161899969,daily
109,0.05890633064077755,daily
110,0.05836454111196482,daily
111,0.019280150745500373,daily
112,0.06955106296111536,daily
113,0.019496207805502784,daily
114,0.019123363159552445,daily
115,0.0569746594021796,daily
116,0.06354399097106284,daily
117,-0.010987649065517658,daily
118,0.07948288431428215,daily
119,-0.002741434738735209,daily
120,0.043702792369800514,daily
121,0.044617934184950254,daily
122,0.02147217764403972,daily
123,0.030609017371770568,daily
124,0.02526901043717014,daily
125,0.02588330676134033,daily
126,0.040978586421477184,daily
127,0.020942149052955678,daily
128,0.022787007977428404,daily
129,0.013539131223220265,daily
130,0.04884352738617928,daily
131,-3.558085787404167e-4,daily
132,0.03428107632561849,daily
133,-0.011760772014439739,daily
134,0.040404370793157875,daily
135,-0.003514942107444497,daily
136,-0.008757213256591317,daily
137,0.016939608411530954,daily
138,8.31186150421763e-4,daily
139,0.01680711831638119,daily
140,-0.009522317888623271,daily
141,0.018145164776147367,daily
142,-0.01847514333053575,daily
143,-0.0021475187901472048,daily
144,-0.00530593186443364,daily
145,-0.0073419318617868245,daily
146,3.348961853136262e-4,daily
147,-0.02715252503095541,daily
148,-0.015079582043290175,daily
149,0.015251595460760941,daily
150,-0.044490853931257256,daily
151,-0.022734451916529667,daily
152,0.008061604671026783,daily
153,-0.03434212190655433,daily
154,-0.018296679651791072,daily
155,-0.04504645929304134,daily
156,-0.017660055029014146,daily
157,-0.006162714656444103,daily
158,-0.016203096490385573,daily
159,-0.04870639804440392,daily
160,-0.023582850416053958,daily
161,-0.04442106433956122,daily
162,-0.019247356681608745,daily
163,-0.05144483632707226,daily
164,-0.014758537599474103,daily
165,-0.022030176938479334,daily
166,-0.06691730907801684,daily
167,-0.061833674084378176,daily
168,-0.023828604432822094,daily
169,-0.01755241367415193,daily
170,-0.059848284536545865,daily
171,-9.899357350250026e-4,daily
172,-0.06972416744669603,daily
173,-0.024002585227294215,daily
174,-0.027197560261674695,daily
175,-0.05475051477140833,daily
176,-0.05917447347514843,daily
177,-0.05669186421147824,daily
178,-0.030509320124265684,daily
179,-0.04615128006833894,daily
180,-0.09083547342803326,daily
181,0.0057306747089850745,daily
182,-0.08961215868968717,daily
183,-0.026483988874472356,daily
184,-0.06011425032783099,daily
185,-0.025730945771616234,daily
186,-0.0063775726368012625,daily
187,-0.14133067058660745,daily
188,0.020423758786569747,daily
189,-0.12031330991435105,daily
190,-0.027240644341476744,daily
