step,S,E,I,R,inc,beta,Rt
0,999900,0,100,0,0,0.3125,2.49975
1,999865,35,91,9,35,0.3125,2.4996625
2,999835,52,99,14,30,0.3125,2.4995875
3,999797,74,107,22,38,0.3125,2.4994925
4,999759,103,105,33,38,0.3125,2.4993974999999997
5,999726,110,113,51,33,0.3125,2.499315
6,999685,131,110,74,41,0.3125,2.4992125
7,999648,139,129,84,37,0.3125,2.49912
8,999613,148,137,102,35,0.3125,2.4990324999999998
9,999568,161,153,118,45,0.3125,2.49892
10,999525,172,163,140,43,0.3125,2.4988125
11,999487,183,166,164,38,0.3125,2.4987175
12,999431,190,191,188,56,0.3125,2.4985774999999997
13,999363,220,206,211,68,0.3125,2.4984075
14,999288,251,221,240,75,0.3125,2.49822
15,999220,279,234,267,68,0.3125,2.49805
16,999134,303,271,292,86,0.3125,2.497835
17,999048,323,310,319,86,0.3125,2.49762
18,998951,350,344,355,97,0.3125,2.4973775000000002
19,998834,386,386,394,117,0.3125,2.4970850000000002
20,998709,419,434,438,125,0.3125,2.4967725
21,998558,483,466,493,151,0.3125,2.4963949999999997
22,998403,538,520,539,155,0.3125,2.4960075
23,998252,584,570,594,151,0.3125,2.4956300000000002
24,998074,662,604,660,178,0.3125,2.495185
25,997896,713,660,731,178,0.3125,2.49474
26,997668,795,716,821,228,0.3125,2.49417
27,997451,810,836,903,217,0.3125,2.4936275
28,997210,869,910,1011,241,0.3125,2.4930250000000003
29,996936,978,961,1125,274,0.3125,2.49234
30,996605,1083,1071,1241,331,0.3125,2.4915125
31,996294,1170,1176,1360,311,0.3125,2.490735
32,995912,1295,1293,1500,382,0.3125,2.48978
33,995509,1415,1422,1654,403,0.3125,2.4887725
34,995093,1508,1585,1814,416,0.3125,2.4877325
35,994637,1637,1734,1992,456,0.3125,2.4865925
36,994134,1762,1920,2184,503,0.3125,2.485335
37,993539,1958,2097,2406,595,0.3125,2.4838475
38,992931,2135,2289,2645,608,0.3125,2.4823275000000002
39,992218,2363,2515,2904,713,0.3125,2.4805450000000002
40,991474,2596,2716,3214,744,0.3125,2.478685
41,990640,2848,2972,3540,834,0.3125,2.4766
42,989689,3203,3224,3884,951,0.3125,2.4742225
43,988655,3486,3613,4246,1034,0.3125,2.4716375
44,987527,3825,3974,4674,1128,0.3125,2.4688175
45,986374,4179,4254,5193,1153,0.3125,2.465935
46,985071,4572,4680,5677,1303,0.3125,2.4626775
47,983589,5055,5084,6272,1482,0.3125,2.4589725000000002
48,982056,5468,5607,6869,1533,0.3125,2.45514
49,980376,5962,6129,7533,1680,0.3125,2.45094
50,978444,6546,6734,8276,1932,0.3125,2.44611
51,976327,7176,7443,9054,2117,0.3125,2.4408174999999996
52,974064,7794,8200,9942,2263,0.3125,2.43516
53,971532,8563,8989,10916,2532,0.3125,2.42883
54,968714,9510,9788,11988,2818,0.3125,2.421785
55,965717,10380,10753,13150,2997,0.3125,2.4142925
56,962487,11325,11759,14429,3230,0.3125,2.4062175
57,959005,12246,12955,15794,3482,0.3125,2.3975125
58,955189,13430,14142,17239,3816,0.3125,2.3879725
59,950874,14764,15500,18862,4315,0.3125,2.377185
60,946274,16124,16951,20651,4600,0.3125,2.365685
61,941205,17705,18512,22578,5069,0.3125,2.3530124999999997
62,935823,19147,20276,24754,5382,0.3125,2.3395574999999997
63,929961,20704,22230,27105,5862,0.3125,2.3249025000000003
64,923582,22595,24134,29689,6379,0.3125,2.308955
65,916648,24568,26368,32416,6934,0.3125,2.29162
66,909215,26491,28774,35520,7433,0.3125,2.2730375
67,900984,28811,31368,38837,8231,0.3125,2.25246
68,892104,31378,34015,42503,8880,0.3125,2.23026
69,882584,33826,37115,46475,9520,0.3125,2.20646
70,872245,36652,40249,50854,10339,0.3125,2.1806125
71,861267,39571,43509,55653,10978,0.3125,2.1531675
72,849564,42499,47237,60700,11703,0.3125,2.12391
73,836995,45687,51029,66289,12569,0.3125,2.0924875000000003
74,823701,48923,54983,72393,13294,0.3125,2.0592525
75,809625,52047,59477,78851,14076,0.3125,2.0240625000000003
76,794839,55456,63730,85975,14786,0.3125,1.9870975
77,779166,58848,68510,93476,15673,0.3125,1.947915
78,762588,62291,73574,101547,16578,0.3125,1.90647
79,745326,65777,78695,110202,17262,0.3125,1.863315
80,727305,69144,84136,119415,18021,0.3125,1.8182625
81,708259,73015,89384,129342,19046,0.3125,1.7706475
82,688801,76254,95138,139807,19458,0.3125,1.7220024999999999
83,668573,79669,100759,150999,20228,0.3125,1.6714324999999999
84,648056,82445,106415,163084,20517,0.3125,1.62014
85,626921,85270,112341,175468,21135,0.3125,1.5673024999999998
86,605263,88275,117613,188849,21658,0.3125,1.5131575
87,583322,90661,123441,202576,21941,0.3125,1.458305
88,561206,92930,128829,217035,22116,0.3125,1.403015
89,539137,94591,134263,232009,22069,0.3125,1.3478425
90,517081,95823,139225,247871,22056,0.3125,1.2927025
91,495058,96810,143763,264369,22023,0.3125,1.237645
92,473282,97389,148207,281122,21776,0.3125,1.183205
93,451876,97282,152347,298495,21406,0.3125,1.12969
94,430900,96605,156081,316414,20976,0.3125,1.07725
95,410245,96087,159197,334471,20655,0.3125,1.0256125
96,390275,94800,161705,353220,19970,0.3125,0.9756874999999999
97,370942,93119,163572,372367,19333,0.3125,0.9273549999999999
98,352495,90983,165054,391468,18447,0.3125,0.8812375
99,334755,88778,165458,411009,17740,0.3125,0.8368875
100,317978,85869,165775,430378,16777,0.3125,0.794945
101,301916,82679,165608,449797,16062,0.3125,0.7547900000000001
102,286640,79524,164946,468890,15276,0.3125,0.7166
103,272399,76002,163072,488527,14241,0.3125,0.6809975
104,258971,72404,161170,507455,13428,0.3125,0.6474275
105,246253,69116,158455,526176,12718,0.3125,0.6156325
106,234252,65840,155237,544671,12001,0.3125,0.58563
107,223491,61971,151611,562927,10761,0.3125,0.5587275
108,213221,58487,147545,580747,10270,0.3125,0.5330524999999999
109,203562,55200,142945,598293,9659,0.3125,0.5089049999999999
110,194608,51846,138236,615310,8954,0.3125,0.48652
111,186339,48647,133396,631618,8269,0.3125,0.4658475
112,178648,45593,128173,647586,7691,0.3125,0.44662
113,171581,42575,123131,662713,7067,0.3125,0.4289525
114,165052,39862,118092,676994,6529,0.3125,0.41263
115,159232,36919,112725,691124,5820,0.3125,0.39808000000000004
116,153697,34202,107677,704424,5535,0.3125,0.3842425
117,148632,31723,102537,717108,5065,0.3125,0.37157999999999997
118,144030,29334,97496,729140,4602,0.3125,0.360075
119,139784,27053,92457,740706,4246,0.3125,0.34946
120,135741,25048,87827,751384,4043,0.3125,0.3393525
121,132040,23223,83023,761714,3701,0.3125,0.33009999999999995
122,128706,21358,78359,771577,3334,0.3125,0.32176499999999997
123,125581,19745,73763,780911,3125,0.3125,0.31395249999999997
124,122741,18184,69496,789579,2840,0.3125,0.30685250000000003
125,120120,16729,65337,797814,2621,0.3125,0.3003
126,117561,15597,61394,805448,2559,0.3125,0.2939025
127,115405,14314,57717,812564,2156,0.3125,0.2885125
128,113395,13210,54145,819250,2010,0.3125,0.2834875
129,111550,12127,50829,825494,1845,0.3125,0.278875
130,109753,11290,47340,831617,1797,0.3125,0.27438250000000003
131,108117,10417,44297,837169,1636,0.3125,0.2702925
132,106629,9693,41334,842344,1488,0.3125,0.2665725
133,105313,8892,38604,847191,1316,0.3125,0.26328250000000003
134,104064,8141,36088,851707,1249,0.3125,0.26016
135,102907,7513,33700,855880,1157,0.3125,0.2572675
136,101792,6973,31453,859782,1115,0.3125,0.25448
137,100837,6395,29280,863488,955,0.3125,0.2520925
138,99899,5883,27309,866909,938,0.3125,0.2497475
139,99047,5433,25265,870255,852,0.3125,0.2476175
140,98287,4984,23561,873168,760,0.3125,0.2457175
141,97584,4585,21915,875916,703,0.3125,0.24396
142,96889,4294,20306,878511,695,0.3125,0.2422225
143,96286,3911,18912,880891,603,0.3125,0.24071499999999998
144,95727,3605,17468,883200,559,0.3125,0.23931750000000002
145,95206,3366,16134,885294,521,0.3125,0.238015
146,94686,3148,15065,887101,520,0.3125,0.236715
147,94245,2917,13933,888905,441,0.3125,0.2356125
148,93832,2668,12984,890516,413,0.3125,0.23458
149,93480,2434,12059,892027,352,0.3125,0.2337
150,93156,2187,11236,893421,324,0.3125,0.23289
151,92843,2006,10403,894748,313,0.3125,0.2321075
152,92561,1850,9572,896017,282,0.3125,0.2314025
153,92316,1662,8908,897114,245,0.3125,0.23079
154,92052,1546,8214,898188,264,0.3125,0.23013
155,91805,1429,7648,899118,247,0.3125,0.2295125
156,91583,1351,7053,900013,222,0.3125,0.22895749999999998
157,91400,1245,6534,900821,183,0.3125,0.22849999999999998
158,91203,1191,5983,901623,197,0.3125,0.22800750000000003
