step,S,E,I,R,inc,beta,Rt
0,499950,0,50,0,0,0.2,1.9998000000000002
1,499941,9,47,3,9,0.2,1.9997640000000003
2,499934,14,42,10,7,0.2,1.999736
3,499925,18,40,17,9,0.2,1.9997
4,499919,20,43,18,6,0.2,1.9996760000000002
5,499911,25,41,23,8,0.2,1.9996440000000002
6,499901,28,44,27,10,0.2,1.9996040000000002
7,499890,27,53,30,11,0.2,1.9995600000000002
8,499878,30,59,33,12,0.2,1.999512
9,499867,37,59,37,11,0.2,1.999468
10,499851,50,57,42,16,0.2,1.9994040000000002
11,499839,52,62,47,12,0.2,1.999356
12,499823,57,69,51,16,0.2,1.9992920000000003
13,499814,52,74,60,9,0.2,1.9992560000000001
14,499796,57,81,66,18,0.2,1.9991840000000003
15,499779,60,85,76,17,0.2,1.999116
16,499770,56,88,86,9,0.2,1.99908
17,499750,64,90,96,20,0.2,1.999
18,499733,67,92,108,17,0.2,1.998932
19,499720,68,99,113,13,0.2,1.9988800000000002
20,499698,77,103,122,22,0.2,1.9987920000000001
21,499680,79,105,136,18,0.2,1.9987200000000003
22,499657,85,113,145,23,0.2,1.998628
23,499631,95,119,155,26,0.2,1.9985240000000002
24,499609,101,120,170,22,0.2,1.998436
25,499587,97,136,180,22,0.2,1.998348
26,499554,109,140,197,33,0.2,1.9982160000000002
27,499516,124,147,213,38,0.2,1.9980640000000003
28,499488,125,158,229,28,0.2,1.9979520000000002
29,499458,130,165,247,30,0.2,1.9978320000000003
30,499425,140,175,260,33,0.2,1.9977
31,499396,142,181,281,29,0.2,1.997584
32,499354,162,184,300,42,0.2,1.9974160000000003
33,499307,170,206,317,47,0.2,1.997228
34,499272,164,232,332,35,0.2,1.9970880000000002
35,499234,168,242,356,38,0.2,1.9969360000000003
36,499184,185,255,376,50,0.2,1.996736
37,499138,191,271,400,46,0.2,1.9965520000000003
38,499089,204,280,427,49,0.2,1.9963560000000002
39,499041,215,295,449,48,0.2,1.9961640000000003
40,498973,232,321,474,68,0.2,1.9958920000000002
41,498903,251,340,506,70,0.2,1.995612
42,498827,277,360,536,76,0.2,1.995308
43,498748,278,416,558,79,0.2,1.994992
44,498681,285,433,601,67,0.2,1.994724
45,498578,325,460,637,103,0.2,1.9943120000000003
46,498481,350,479,690,97,0.2,1.9939240000000003
47,498391,363,516,730,90,0.2,1.993564
48,498298,364,560,778,93,0.2,1.9931920000000003
49,498188,386,596,830,110,0.2,1.992752
50,498085,407,609,899,103,0.2,1.9923400000000002
51,497959,444,649,948,126,0.2,1.9918360000000002
52,497834,467,686,1013,125,0.2,1.9913360000000002
53,497702,496,722,1080,132,0.2,1.990808
54,497561,524,757,1158,141,0.2,1.990244
55,497428,539,800,1233,133,0.2,1.9897120000000001
56,497266,581,845,1308,162,0.2,1.9890640000000002
57,497089,636,879,1396,177,0.2,1.988356
58,496922,653,953,1472,167,0.2,1.987688
59,496758,658,1027,1557,164,0.2,1.987032
60,496552,717,1059,1672,206,0.2,1.9862080000000002
61,496351,753,1120,1776,201,0.2,1.985404
62,496131,785,1206,1878,220,0.2,1.984524
63,495905,839,1265,1991,226,0.2,1.9836200000000002
64,495668,906,1320,2106,237,0.2,1.982672
65,495417,975,1363,2245,251,0.2,1.981668
66,495138,1043,1433,2386,279,0.2,1.980552
67,494845,1107,1523,2525,293,0.2,1.97938
68,494538,1154,1630,2678,307,0.2,1.978152
69,494207,1191,1778,2824,331,0.2,1.9768280000000003
70,493834,1259,1930,2977,373,0.2,1.975336
71,493470,1349,2017,3164,364,0.2,1.97388
72,493082,1459,2111,3348,388,0.2,1.972328
73,492658,1593,2206,3543,424,0.2,1.970632
74,492221,1686,2332,3761,437,0.2,1.968884
75,491775,1763,2464,3998,446,0.2,1.9671000000000003
76,491254,1870,2655,4221,521,0.2,1.9650160000000003
77,490722,1992,2793,4493,532,0.2,1.9628880000000002
78,490163,2167,2937,4733,559,0.2,1.9606520000000003
79,489533,2311,3131,5025,630,0.2,1.9581320000000002
80,488903,2433,3318,5346,630,0.2,1.955612
81,488229,2529,3589,5653,674,0.2,1.952916
82,487557,2688,3745,6010,672,0.2,1.9502280000000003
83,486889,2757,4010,6344,668,0.2,1.9475560000000003
84,486100,2913,4294,6693,789,0.2,1.9444
85,485254,3071,4580,7095,846,0.2,1.941016
86,484348,3304,4837,7511,906,0.2,1.937392
87,483421,3478,5080,8021,927,0.2,1.933684
88,482413,3684,5415,8488,1008,0.2,1.929652
89,481384,3895,5758,8963,1029,0.2,1.925536
90,480298,4136,6043,9523,1086,0.2,1.9211920000000002
91,479216,4287,6377,10120,1082,0.2,1.9168640000000001
92,477999,4541,6774,10686,1217,0.2,1.9119960000000003
93,476762,4729,7157,11352,1237,0.2,1.907048
94,475354,5100,7476,12070,1408,0.2,1.9014160000000002
95,473989,5424,7789,12798,1365,0.2,1.895956
96,472591,5619,8265,13525,1398,0.2,1.890364
97,470992,6046,8681,14281,1599,0.2,1.8839680000000003
98,469397,6320,9152,15131,1595,0.2,1.877588
99,467657,6658,9659,16026,1740,0.2,1.870628
100,465891,6966,10148,16995,1766,0.2,1.863564
101,464003,7370,10670,17957,1888,0.2,1.8560120000000002
102,462099,7614,11325,18962,1904,0.2,1.848396
103,459955,8093,11922,20030,2144,0.2,1.83982
104,457783,8446,12594,21177,2172,0.2,1.831132
105,455483,8851,13332,22334,2300,0.2,1.8219320000000003
106,453033,9386,14015,23566,2450,0.2,1.812132
107,450508,9822,14773,24897,2525,0.2,1.802032
