t,GR,ver
1,118.6846027111917,daily
2,-0.15415067982725836,daily
3,0.23638877806423034,daily
4,0,daily
5,-0.14107859825990549,daily
6,0.21706450523782758,daily
7,-0.10265415406008334,daily
8,-0.055569851154810765,daily
9,0.25131442828090617,daily
10,-0.04546237407675729,daily
11,-0.12361395596717664,daily
12,0.38776553100876343,daily
13,0.1941560144409574,daily
14,0.09798040836020382,daily
15,-0.09798040836020379,daily
16,0.234839591077401,daily
17,0,daily
18,0.12036368224987509,daily
19,0.18746295629437323,daily
20,0.06613980250454499,daily
21,0.18896609951262316,daily
22,0.026145280104322207,daily
23,-0.026145280104322245,daily
24,0.16450371347716083,daily
25,0,daily
26,0.24756207866235563,daily
27,-0.04944827541398126,daily
28,0.10489957995019542,daily
29,0.1283311728974152,daily
30,0.1889902689889926,daily
31,-0.06232546319782882,daily
32,0.205627696427341,daily
33,0.05351595334010783,daily
34,0.03174869831458027,daily
35,0.09180754925312289,daily
36,0.09809736058535316,daily
37,0.16797123544589046,daily
38,0.02161347642053717,daily
39,0.15930653844812895,daily
40,0.0425596144187959,daily
41,0.1141923675256548,daily
42,0.13128066018664356,daily
43,0.08367599252298405,daily
44,0.0870113769896297,daily
45,0.021921088211054728,daily
46,0.12230205685578607,daily
47,0.12872322873118705,daily
48,0.03383407301578187,daily
49,0.09156719352549043,daily
50,0.13976194237515863,daily
51,0.0914442563624018,daily
52,0.06669137449867214,daily
53,0.11231813763052939,daily
54,0.10701790919455875,daily
55,0.061584374858037715,daily
56,0.07487034890003894,daily
57,0.0751247041114321,daily
58,0.09159591224004275,daily
59,0.12289457094935119,daily
60,0.06395897895965795,daily
61,0.09708725599516305,daily
62,0.05991649281450177,daily
63,0.0854307899839867,daily
64,0.08452050297111764,daily
65,0.08342550200301353,daily
66,0.0694926984803247,daily
67,0.10197796824735053,daily
68,0.07589404301357182,daily
69,0.06959329179919518,daily
70,0.08252830380128204,daily
71,0.0599701175231415,daily
72,0.06395194906493168,daily
73,0.07138824575007123,daily
74,0.056079340676689675,daily
75,0.05715841383994862,daily
76,0.04920956767556953,daily
77,0.05825869953702283,daily
78,0.056137028497403346,daily
79,0.04043103862813139,daily
80,0.0430301907386681,daily
81,0.05531936123572014,daily
82,0.021401190781381547,daily
83,0.03880948666450076,daily
84,0.014186027566332117,daily
85,0.029676623234684535,daily
86,0.02444446718743451,daily
87,0.012982131453625178,daily
88,0.007944295815873794,daily
89,-0.002127419609663686,daily
90,-5.892351445271781e-4,daily
91,-0.0014973119247415894,daily
92,-0.01127891588764372,daily
93,-0.01713718934692638,daily
94,-0.02029232954083986,daily
95,-0.01542150617261614,daily
96,-0.03372627342100405,daily
97,-0.03241766707735889,daily
98,-0.04691172471092269,daily
99,-0.039079778758008964,daily
100,-0.05581307609316996,daily
101,-0.043552667021992945,daily
102,-0.05017326440300064,daily
103,-0.07015784112597916,daily
104,-0.05878304911950217,daily
105,-0.054323766272572474,daily
106,-0.05802833319591168,daily
107,-0.10906149243104911,daily
108,-0.046701463277788326,daily
109,-0.061336900743308,daily
110,-0.07578976337838511,daily
111,-0.07958677707874412,daily
112,-0.07246276866511292,daily
113,-0.0846147523661995,daily
114,-0.07918226950422083,daily
115,-0.11495353046115003,daily
116,-0.05020869558274631,daily
117,-0.08873742845995355,daily
118,-0.09586314608747253,daily
119,-0.0805136283321098,daily
120,-0.048990372622430695,daily
121,-0.08838393725461484,daily
122,-0.10443026907541672,daily
123,-0.0647385011402374,daily
124,-0.09563023101525009,daily
125,-0.08024812783184533,daily
126,-0.023939367163617588,daily
127,-0.1713619041309011,daily
128,-0.07011993097576635,daily
129,-0.08565544457849389,daily
130,-0.026360669691068508,daily
131,-0.0938643696208667,daily
132,-0.09482130176965523,daily
133,-0.12283610350777467,daily
134,-0.05225360175968479,daily
135,-0.07651278293190114,daily
136,-0.036976043299457445,daily
137,-0.15489834341348885,daily
138,-0.01796139147450558,daily
139,-0.09616342217690892,daily
140,-0.11426809354893898,daily
141,-0.0779615414697118,daily
142,-0.01144504624587282,daily
143,-0.14199464883760668,daily
144,-0.07576772357208629,daily
145,-0.07039943140173224,daily
146,-0.0019212301778939326,daily
147,-0.16478393612862707,daily
