step,S,E,I,R,inc,beta,Rt
0,999900,0,100,0,0,0.25,1.9998
1,999877,23,90,10,23,0.25,1.999754
2,999859,36,80,25,18,0.25,1.999718
3,999837,47,77,39,22,0.25,1.999674
4,999821,52,83,44,16,0.25,1.999642
5,999802,62,81,55,19,0.25,1.999604
6,999779,69,88,64,23,0.25,1.999558
7,999753,71,103,73,26,0.25,1.999506
8,999725,78,115,82,28,0.25,1.99945
9,999698,92,117,93,27,0.25,1.999396
10,999663,115,116,106,35,0.25,1.999326
11,999633,121,127,119,30,0.25,1.999266
12,999596,131,142,131,37,0.25,1.999192
13,999553,141,157,149,43,0.25,1.999106
14,999509,157,164,170,44,0.25,1.999018
15,999453,179,179,189,56,0.25,1.998906
16,999408,191,189,212,45,0.25,1.998816
17,999362,189,210,239,46,0.25,1.998724
18,999309,196,232,263,53,0.25,1.998618
19,999249,213,252,286,60,0.25,1.998498
20,999193,218,277,312,56,0.25,1.998386
21,999124,249,293,334,69,0.25,1.998248
22,999051,262,315,372,73,0.25,1.998102
23,998977,269,351,403,74,0.25,1.997954
24,998888,303,362,447,89,0.25,1.997776
25,998787,342,383,488,101,0.25,1.997574
26,998706,344,428,522,81,0.25,1.997412
27,998603,366,460,571,103,0.25,1.997206
28,998491,395,479,635,112,0.25,1.996982
29,998353,446,505,696,138,0.25,1.996706
30,998227,495,528,750,126,0.25,1.996454
31,998115,505,559,821,112,0.25,1.99623
32,997979,519,609,893,136,0.25,1.995958
33,997841,537,658,964,138,0.25,1.995682
34,997670,591,683,1056,171,0.25,1.99534
35,997486,646,731,1137,184,0.25,1.994972
36,997308,688,768,1236,178,0.25,1.994616
37,997106,755,827,1312,202,0.25,1.994212
38,996902,791,901,1406,204,0.25,1.993804
39,996712,812,946,1530,190,0.25,1.993424
40,996465,869,1026,1640,247,0.25,1.99293
41,996204,965,1066,1765,261,0.25,1.992408
42,995940,1011,1163,1886,264,0.25,1.99188
43,995657,1070,1254,2019,283,0.25,1.991314
44,995349,1144,1329,2178,308,0.25,1.990698
45,995047,1190,1426,2337,302,0.25,1.990094
46,994688,1286,1534,2492,359,0.25,1.989376
47,994295,1366,1675,2664,393,0.25,1.98859
48,993902,1454,1772,2872,393,0.25,1.987804
49,993481,1574,1847,3098,421,0.25,1.986962
50,993068,1631,1984,3317,413,0.25,1.986136
51,992578,1768,2102,3552,490,0.25,1.985156
52,992011,1941,2259,3789,567,0.25,1.984022
53,991455,2078,2416,4051,556,0.25,1.98291
54,990891,2188,2602,4319,564,0.25,1.981782
55,990287,2323,2779,4611,604,0.25,1.980574
56,989610,2463,3001,4926,677,0.25,1.97922
57,988876,2647,3190,5287,734,0.25,1.977752
58,988071,2862,3396,5671,805,0.25,1.976142
59,987153,3135,3636,6076,918,0.25,1.974306
60,986302,3315,3874,6509,851,0.25,1.972604
61,985343,3514,4185,6958,959,0.25,1.970686
62,984272,3831,4477,7420,1071,0.25,1.968544
63,983198,4082,4784,7936,1074,0.25,1.966396
64,982033,4335,5145,8487,1165,0.25,1.964066
65,980736,4670,5510,9084,1297,0.25,1.961472
66,979413,4976,5848,9763,1323,0.25,1.958826
67,977991,5323,6196,10490,1422,0.25,1.955982
68,976403,5698,6669,11230,1588,0.25,1.952806
69,974762,6136,7076,12026,1641,0.25,1.949524
70,973046,6473,7562,12919,1716,0.25,1.946092
71,971232,6810,8131,13827,1814,0.25,1.942464
72,969221,7281,8780,14718,2011,0.25,1.938442
73,967079,7853,9313,15755,2142,0.25,1.934158
74,964782,8462,9843,16913,2297,0.25,1.929564
75,962321,9121,10478,18080,2461,0.25,1.924642
76,959820,9620,11236,19324,2501,0.25,1.91964
77,957082,10271,11983,20664,2738,0.25,1.914164
78,954190,10905,12787,22118,2892,0.25,1.90838
79,951142,11577,13631,23650,3048,0.25,1.902284
80,947773,12328,14665,25234,3369,0.25,1.895546
81,944344,13059,15619,26978,3429,0.25,1.888688
82,940804,13683,16662,28851,3540,0.25,1.881608
83,936901,14535,17829,30735,3903,0.25,1.873802
84,932678,15531,18892,32899,4223,0.25,1.865356
85,928307,16550,20040,35103,4371,0.25,1.856614
86,923584,17604,21288,37524,4723,0.25,1.847168
87,918786,18673,22485,40056,4798,0.25,1.837572
88,913539,19786,24007,42668,5247,0.25,1.827078
89,908113,20904,25443,45540,5426,0.25,1.816226
90,902349,21993,27178,48480,5764,0.25,1.804698
91,896274,23152,28869,51705,6075,0.25,1.792548
92,889965,24239,30748,55048,6309,0.25,1.77993
93,883083,25770,32485,58662,6882,0.25,1.766166
94,875987,27191,34439,62383,7096,0.25,1.751974
95,868411,28774,36313,66502,7576,0.25,1.736822
96,860503,30290,38466,70741,7908,0.25,1.721006
97,852371,31815,40555,75259,8132,0.25,1.704742
98,843792,33440,42707,80061,8579,0.25,1.687584
99,834825,35017,45088,85070,8967,0.25,1.66965
100,825370,36704,47633,90293,9455,0.25,1.65074
101,815573,38404,50148,95875,9797,0.25,1.631146
102,805370,40135,52697,101798,10203,0.25,1.61074
103,794992,41659,55423,107926,10378,0.25,1.589984
104,783929,43491,58095,114485,11063,0.25,1.567858
105,772541,45139,61033,121287,11388,0.25,1.545082
106,760912,46792,63965,128331,11629,0.25,1.521824
107,748897,48408,66905,135790,12015,0.25,1.497794
108,736345,50208,69706,143741,12552,0.25,1.47269
109,723650,51843,72729,151778,12695,0.25,1.4473
110,710773,53115,75725,160387,12877,0.25,1.421546
111,697416,54728,78694,169162,13357,0.25,1.394832
112,683802,56286,81561,178351,13614,0.25,1.367604
113,670047,57558,84454,187941,13755,0.25,1.340094
114,656094,58693,87404,197809,13953,0.25,1.312188
115,642081,59867,90010,208042,14013,0.25,1.284162
116,627771,60914,92769,218546,14310,0.25,1.255542
117,613242,61866,95516,229376,14529,0.25,1.226484
118,598832,62814,97709,240645,14410,0.25,1.197664
119,584412,63430,100047,252111,14420,0.25,1.168824
120,569825,64183,102140,263852,14587,0.25,1.13965
121,555695,64143,104397,275765,14130,0.25,1.11139
122,541148,64339,106357,288156,14547,0.25,1.082296
123,527254,64073,107984,300689,13894,0.25,1.054508
124,513213,63986,109286,313515,14041,0.25,1.026426
125,499315,63770,110517,326398,13898,0.25,0.99863
126,485724,63099,111851,339326,13591,0.25,0.971448
127,472295,62531,112581,352593,13429,0.25,0.94459
128,458864,62238,112858,366040,13431,0.25,0.917728
129,446029,61354,113150,379467,12835,0.25,0.892058
130,433580,60308,113354,392758,12449,0.25,0.86716
131,421511,59012,113475,406002,12069,0.25,0.843022
132,409436,58087,113174,419303,12075,0.25,0.818872
133,397915,56663,112746,432676,11521,0.25,0.79583
134,386953,55091,112106,445850,10962,0.25,0.773906
135,376254,53596,111271,458879,10699,0.25,0.752508
136,366032,51958,110028,471982,10222,0.25,0.732064
137,356048,50435,108508,485009,9984,0.25,0.712096
138,346694,48572,107204,497530,9354,0.25,0.693388
139,337534,47049,105318,510099,9160,0.25,0.675068
140,328812,45437,103262,522489,8722,0.25,0.657624
141,320415,43745,101072,534768,8397,0.25,0.64083
142,312498,42008,98923,546571,7917,0.25,0.624996
143,304909,40268,96746,558077,7589,0.25,0.609818
144,297527,38805,94123,569545,7382,0.25,0.595054
145,290558,37198,91644,580600,6969,0.25,0.581116
146,283956,35815,88848,591381,6602,0.25,0.567912
147,277662,34272,86405,601661,6294,0.25,0.555324
148,271636,32702,83964,611698,6026,0.25,0.543272
149,265965,31146,81298,621591,5671,0.25,0.53193
150,260840,29410,78503,631247,5125,0.25,0.52168
151,255781,28033,75728,640458,5059,0.25,0.511562
152,250934,26590,73070,649406,4847,0.25,0.501868
153,246389,25299,70339,657973,4545,0.25,0.492778
154,242247,23795,67667,666291,4142,0.25,0.484494
155,238187,22605,65002,674206,4060,0.25,0.476374
156,234353,21492,62226,681929,3834,0.25,0.468706
157,230701,20399,59515,689385,3652,0.25,0.461402
158,227295,19361,56969,696375,3406,0.25,0.45459
159,224033,18380,54639,702948,3262,0.25,0.448066
160,220999,17423,52269,709309,3034,0.25,0.441998
161,218147,16461,49914,715478,2852,0.25,0.436294
162,215524,15517,47670,721289,2623,0.25,0.431048
163,213003,14597,45403,726997,2521,0.25,0.426006
164,210606,13844,43206,732344,2397,0.25,0.421212
165,208381,13004,41122,737493,2225,0.25,0.416762
166,206237,12243,39068,742452,2144,0.25,0.412474
167,204295,11440,37131,747134,1942,0.25,0.40859
168,202359,10890,35277,751474,1936,0.25,0.404718
169,200605,10205,33625,755565,1754,0.25,0.40121
170,198919,9624,31945,759512,1686,0.25,0.397838
171,197384,8995,30407,763214,1535,0.25,0.394768
172,195945,8413,28907,766735,1439,0.25,0.39189
173,194521,8024,27288,770167,1424,0.25,0.389042
174,193236,7500,25912,773352,1285,0.25,0.386472
175,192034,7076,24529,776361,1202,0.25,0.384068
176,190891,6658,23266,779185,1143,0.25,0.381782
177,189810,6290,21980,781920,1081,0.25,0.37962
178,188816,5887,20714,784583,994,0.25,0.377632
179,187907,5436,19588,787069,909,0.25,0.375814
180,186976,5222,18461,789341,931,0.25,0.373952
181,186166,4866,17386,791582,810,0.25,0.372332
182,185389,4568,16466,793577,777,0.25,0.370778
183,184622,4353,15535,795490,767,0.25,0.369244
184,183904,4137,14611,797348,718,0.25,0.367808
185,183220,3907,13783,799090,684,0.25,0.36644
186,182617,3615,13008,800760,603,0.25,0.365234
187,181992,3443,12322,802243,625,0.25,0.363984
188,181433,3247,11647,803673,559,0.25,0.362866
189,180903,3090,10911,805096,530,0.25,0.361806
190,180420,2845,10345,806390,483,0.25,0.36084
191,179914,2707,9722,807657,506,0.25,0.359828
192,179457,2544,9193,808806,457,0.25,0.358914
193,179031,2387,8656,809926,426,0.25,0.358062
194,178643,2234,8210,810913,388,0.25,0.357286
195,178271,2072,7819,811838,372,0.25,0.356542
196,177912,1949,7377,812762,359,0.25,0.355824
197,177584,1855,6963,813598,328,0.25,0.355168
198,177302,1751,6516,814431,282,0.25,0.354604
199,176993,1671,6132,815204,309,0.25,0.353986
200,176712,1584,5763,815941,281,0.25,0.353424
201,176453,1513,5422,816612,259,0.25,0.352906
202,176210,1433,5068,817289,243,0.25,0.35242
203,175987,1328,4791,817894,223,0.25,0.351974
204,175779,1218,4570,818433,208,0.25,0.351558
205,175581,1136,4292,818991,198,0.25,0.351162
206,175390,1084,4024,819502,191,0.25,0.35078
207,175206,1015,3791,819988,184,0.25,0.350412
208,175048,942,3563,820447,158,0.25,0.350096
209,174889,877,3398,820836,159,0.25,0.349778
210,174737,829,3201,821233,152,0.25,0.349474
211,174598,772,3004,821626,139,0.25,0.349196
212,174466,741,2827,821966,132,0.25,0.348932
213,174334,711,2644,822311,132,0.25,0.348668
214,174214,663,2514,822609,120,0.25,0.348428
215,174094,657,2354,822895,120,0.25,0.348188
216,173986,621,2212,823181,108,0.25,0.347972
217,173888,592,2089,823431,98,0.25,0.347776
218,173791,559,1964,823686,97,0.25,0.347582
219,173708,508,1871,823913,83,0.25,0.347416
220,173625,480,1764,824131,83,0.25,0.34725
221,173547,452,1670,824331,78,0.25,0.347094
222,173480,405,1602,824513,67,0.25,0.34696
223,173421,363,1498,824718,59,0.25,0.346842
224,173361,343,1413,824883,60,0.25,0.346722
225,173295,333,1314,825058,66,0.25,0.34659
226,173227,318,1230,825225,68,0.25,0.346454
227,173177,300,1170,825353,50,0.25,0.346354
228,173127,289,1084,825500,50,0.25,0.346254
