step,S,E,I,R,inc,beta,Rt
229,173079,285,1013,825623,48,0.25,0.346158
230,173026,283,952,825739,53,0.25,0.346052
231,172996,246,910,825848,30,0.25,0.345992
232,172969,230,836,825965,27,0.25,0.345938
233,172944,203,807,826046,25,0.25,0.345888
234,172921,190,763,826126,23,0.25,0.345842
235,172891,176,715,826218,30,0.25,0.345782
236,172853,175,669,826303,38,0.25,0.345706
237,172830,160,624,826386,23,0.25,0.34566
238,172812,142,581,826465,18,0.25,0.345624
239,172783,144,523,826550,29,0.25,0.345566
240,172768,120,506,826606,15,0.25,0.345536
241,172747,120,466,826667,21,0.25,0.345494
242,172726,111,432,826731,21,0.25,0.345452
243,172707,107,411,826775,19,0.25,0.345414
244,172694,91,396,826819,13,0.25,0.345388
245,172677,90,373,826860,17,0.25,0.345354
246,172653,97,345,826905,24,0.25,0.345306
247,172640,89,336,826935,13,0.25,0.34528
248,172629,80,321,826970,11,0.25,0.345258
249,172602,94,304,827000,27,0.25,0.345204
250,172588,83,295,827034,14,0.25,0.345176
