t,GR,ver
1,118.81813410381622,daily
2,-0.10536051565782628,daily
3,-0.6931471805599453,daily
4,0.5436154465889816,daily
5,-0.10178269430994236,daily
6,0.4054651081081644,daily
7,-0.15415067982725836,daily
8,0.027398974188114347,daily
9,0.28090238546640217,daily
10,0.3708595789306888,daily
11,-0.0730251350148899,daily
12,-0.03077165866675366,daily
13,0.17185025692665923,daily
14,-0.17185025692665928,daily
15,0.4855078157817008,daily
16,-0.049271049006782794,daily
17,-0.11778303565638351,daily
18,0.20479441264601322,daily
19,0.12188981760903679,daily
20,0.11595988109486838,daily
21,0.09065436826813084,daily
22,-0.08338160893905101,daily
23,0.28768207245178085,daily
24,0.10807422152942252,daily
25,0.05226842854575687,daily
26,0.14618251017808145,daily
27,0.0039920212695372355,daily
28,0.14097374898064835,daily
29,0.15957341926801807,daily
30,0.034786116085415604,daily
31,0.10021911615740756,daily
32,0.11203919447713144,daily
33,0.08816278759467168,daily
34,0.049392755329576266,daily
35,0.16612687087397401,daily
36,0.059423420470800806,daily
37,0.012739025777429712,daily
38,0.14141165404982847,daily
39,0.11656128840606109,daily
40,0.0324742907544267,daily
41,0.15228926969507978,daily
42,0.08004270767353636,daily
43,0.08794902356559321,daily
44,0.13331659292441625,daily
45,0.06265705303786569,daily
46,0.11022156295580697,daily
47,0.1072562508227255,daily
48,0.05364847332050838,daily
49,0.09202481631770754,daily
50,0.10083161158916767,daily
51,0.08590063601127573,daily
52,0.08772424427375194,daily
53,0.11749266958569247,daily
54,0.061775830224469176,daily
55,0.09061900622844464,daily
56,0.04785335779580609,daily
57,0.1225709756039201,daily
58,0.0812066908440599,daily
59,0.090403210354967,daily
60,0.06428545268120339,daily
61,0.10496180292506435,daily
62,0.09093462295995906,daily
63,0.0704898777545448,daily
64,0.0715492289097687,daily
65,0.07672533224053663,daily
66,0.09445486970228965,daily
67,0.04484356060644072,daily
68,0.06860735665622222,daily
69,0.0788981570982172,daily
70,0.058940000236134306,daily
71,0.08892482898913504,daily
72,0.04795086317662643,daily
73,0.06225298294457449,daily
74,0.0470156884217011,daily
75,0.04742151009627882,daily
76,0.0685252044749819,daily
77,0.055282608085079996,daily
78,0.025681649186963123,daily
79,0.06597615171490659,daily
80,0.026112243776747632,daily
81,0.03422367812868528,daily
